n,d1,d2,d3
1,0.56160,1.30416,0.399885
2,0.56160,1.52152,0.346739
3,0.56160,1.73888,0.338951
4,0.56160,1.95624,0.257457
5,0.56160,2.17360,0.234748
6,0.56160,2.39096,0.236599
7,0.56160,2.60832,0.258834
8,0.56160,2.82568,0.305986
9,0.56160,3.04304,0.327515
10,0.65520,1.30416,0.380177
11,0.65520,1.52152,0.353716
12,0.65520,1.73888,0.310808
13,0.65520,1.95624,0.226340
14,0.65520,2.17360,0.219504
15,0.65520,2.39096,0.225554
16,0.65520,2.60832,0.259429
17,0.65520,2.82568,0.300476
18,0.65520,3.04304,0.331119
19,0.74880,1.30416,0.353076
20,0.74880,1.52152,0.337702
21,0.74880,1.73888,0.250225
22,0.74880,1.95624,0.209381
23,0.74880,2.17360,0.200171
24,0.74880,2.39096,0.210501
25,0.74880,2.60832,0.250603
26,0.74880,2.82568,0.281344
27,0.74880,3.04304,0.332234
28,0.84240,1.30416,0.351112
29,0.84240,1.52152,0.310507
30,0.84240,1.73888,0.223471
31,0.84240,1.95624,0.202268
32,0.84240,2.17360,0.193964
33,0.84240,2.39096,0.211961
34,0.84240,2.60832,0.245735
35,0.84240,2.82568,0.274433
36,0.84240,3.04304,0.333412
37,0.93600,1.30416,0.353008
38,0.93600,1.52152,0.263706
39,0.93600,1.73888,0.216408
40,0.93600,1.95624,0.196399
41,0.93600,2.17360,0.188176
42,0.93600,2.39096,0.216692
43,0.93600,2.60832,0.239944
44,0.93600,2.82568,0.279724
45,0.93600,3.04304,0.339524
46,1.02960,1.30416,0.349788
47,1.02960,1.52152,0.252210
48,1.02960,1.73888,0.223716
49,1.02960,1.95624,0.200401
50,1.02960,2.17360,0.193256
51,1.02960,2.39096,0.219142
52,1.02960,2.60832,0.243513
53,1.02960,2.82568,0.296363
54,1.02960,3.04304,0.356496
55,1.12320,1.30416,0.315136
56,1.12320,1.52152,0.246261
57,1.12320,1.73888,0.225753
58,1.12320,1.95624,0.206609
59,1.12320,2.17360,0.201757
60,1.12320,2.39096,0.227299
61,1.12320,2.60832,0.256346
62,1.12320,2.82568,0.312756
63,1.12320,3.04304,0.369150
64,1.21680,1.30416,0.308106
65,1.21680,1.52152,0.254363
66,1.21680,1.73888,0.232642
67,1.21680,1.95624,0.207564
68,1.21680,2.17360,0.210353
69,1.21680,2.39096,0.232966
70,1.21680,2.60832,0.280362
71,1.21680,2.82568,0.331996
72,1.21680,3.04304,0.383789
73,1.31040,1.30416,0.302640
74,1.31040,1.52152,0.258592
75,1.31040,1.73888,0.231071
76,1.31040,1.95624,0.210805
77,1.31040,2.17360,0.220339
78,1.31040,2.39096,0.241363
79,1.31040,2.60832,0.290685
80,1.31040,2.82568,0.343151
81,1.31040,3.04304,0.411907
82,0.93600,2.17360,0.411907
83,0.93600,2.17360,0.188541
