n,d1,d2,d3
1,0.3952,1.1856,0.444953
2,0.3952,1.3832,0.369521
3,0.3952,1.5808,0.315262
4,0.3952,1.7784,0.305453
5,0.3952,1.9760,0.295693
6,0.3952,2.1736,0.260438
7,0.3952,2.3712,0.257998
8,0.3952,2.5688,0.269121
9,0.3952,2.7664,0.282646
10,0.3952,2.9640,0.300987
11,0.4611,1.1856,0.437138
12,0.4611,1.3832,0.366562
13,0.4611,1.5808,0.318210
14,0.4611,1.7784,0.326513
15,0.4611,1.9760,0.277130
16,0.4611,2.1736,0.256585
17,0.4611,2.3712,0.262407
18,0.4611,2.5688,0.265849
19,0.4611,2.7664,0.294775
20,0.4611,2.9640,0.309529
21,0.5269,1.1856,0.433691
22,0.5269,1.3832,0.359468
23,0.5269,1.5808,0.324348
24,0.5269,1.7784,0.331961
25,0.5269,1.9760,0.268992
26,0.5269,2.1736,0.254916
27,0.5269,2.3712,0.263880
28,0.5269,2.5688,0.268263
29,0.5269,2.7664,0.298342
30,0.5269,2.9640,0.313376
31,0.5928,1.1856,0.424481
32,0.5928,1.3832,0.354776
33,0.5928,1.5808,0.331536
34,0.5928,1.7784,0.319507
35,0.5928,1.9760,0.260858
36,0.5928,2.1736,0.255928
37,0.5928,2.3712,0.259986
38,0.5928,2.5688,0.273038
39,0.5928,2.7664,0.292776
40,0.5928,2.9640,0.308068
41,0.6587,1.1856,0.411002
42,0.6587,1.3832,0.348748
43,0.6587,1.5808,0.335607
44,0.6587,1.7784,0.281798
45,0.6587,1.9760,0.248726
46,0.6587,2.1736,0.253705
47,0.6587,2.3712,0.257601
48,0.6587,2.5688,0.276401
49,0.6587,2.7664,0.293071
50,0.6587,2.9640,0.305990
51,0.7245,1.1856,0.383319
52,0.7245,1.3832,0.341885
53,0.7245,1.5808,0.324644
54,0.7245,1.7784,0.262760
55,0.7245,1.9760,0.238662
56,0.7245,2.1736,0.246310
57,0.7245,2.3712,0.248310
58,0.7245,2.5688,0.268196
59,0.7245,2.7664,0.283983
60,0.7245,2.9640,0.301691
61,0.7904,1.1856,0.370386
62,0.7904,1.3832,0.340208
63,0.7904,1.5808,0.313765
64,0.7904,1.7784,0.252361
65,0.7904,1.9760,0.234804
66,0.7904,2.1736,0.237449
67,0.7904,2.3712,0.244957
68,0.7904,2.5688,0.260960
69,0.7904,2.7664,0.270461
70,0.7904,2.9640,0.294272
71,0.8563,1.1856,0.363020
72,0.8563,1.3832,0.348255
73,0.8563,1.5808,0.275228
74,0.8563,1.7784,0.240480
75,0.8563,1.9760,0.231397
76,0.8563,2.1736,0.229603
77,0.8563,2.3712,0.244495
78,0.8563,2.5688,0.253132
79,0.8563,2.7664,0.265658
80,0.8563,2.9640,0.299633
81,0.9221,1.1856,0.363616
82,0.9221,1.3832,0.336880
83,0.9221,1.5808,0.270197
84,0.9221,1.7784,0.238192
85,0.9221,1.9760,0.229909
86,0.9221,2.1736,0.226282
87,0.9221,2.3712,0.239513
88,0.9221,2.5688,0.249950
89,0.9221,2.7664,0.268172
90,0.9221,2.9640,0.298557
91,0.9880,1.1856,0.376843
92,0.9880,1.3832,0.339458
93,0.9880,1.5808,0.267343
94,0.9880,1.7784,0.243257
95,0.9880,1.9760,0.228813
96,0.9880,2.1736,0.232776
97,0.9880,2.3712,0.238222
98,0.9880,2.5688,0.243899
99,0.9880,2.7664,0.271981
100,0.9880,2.9640,0.302183
