n,d1,d2,d3
1,0.748800,1.699360,0.187867
2,0.748800,1.719120,0.183724
3,0.748800,1.738880,0.177205
4,0.748800,1.758640,0.174731
5,0.748800,1.778400,0.170663
6,0.748800,1.798160,0.168706
7,0.748800,1.817920,0.165098
8,0.748800,1.837680,0.161701
9,0.748800,1.857440,0.153576
10,0.748800,1.877200,0.150817
11,0.748800,1.896960,0.150394
12,0.748800,1.916720,0.146273
13,0.748800,1.936480,0.144080
14,0.748800,1.956240,0.143411
15,0.748800,1.976000,0.141923
16,0.748800,1.995760,0.141998
17,0.748800,2.015520,0.142465
18,0.748800,2.035280,0.142933
19,0.748800,2.055040,0.143197
20,0.748800,2.074800,0.146074
21,0.748800,2.094560,0.147805
22,0.748800,2.114320,0.148717
23,0.748800,2.134080,0.151464
24,0.748800,2.153840,0.153035
25,0.748800,2.173600,0.156454
26,0.811200,1.699360,0.173041
27,0.811200,1.719120,0.168257
28,0.811200,1.738880,0.165158
29,0.811200,1.758640,0.161486
30,0.811200,1.778400,0.158320
31,0.811200,1.798160,0.153059
32,0.811200,1.817920,0.148928
33,0.811200,1.837680,0.146314
34,0.811200,1.857440,0.144208
35,0.811200,1.877200,0.142840
36,0.811200,1.896960,0.140792
37,0.811200,1.916720,0.139140
38,0.811200,1.936480,0.139837
39,0.811200,1.956240,0.140004
40,0.811200,1.976000,0.137019
41,0.811200,1.995760,0.138168
42,0.811200,2.015520,0.139630
43,0.811200,2.035280,0.141635
44,0.811200,2.055040,0.142708
45,0.811200,2.074800,0.144124
46,0.811200,2.094560,0.145699
47,0.811200,2.114320,0.146994
48,0.811200,2.134080,0.150187
49,0.811200,2.153840,0.151370
50,0.811200,2.173600,0.153476
51,0.873600,1.699360,0.162170
52,0.873600,1.719120,0.158371
53,0.873600,1.738880,0.150686
54,0.873600,1.758640,0.147396
55,0.873600,1.778400,0.144700
56,0.873600,1.798160,0.142763
57,0.873600,1.817920,0.139656
58,0.873600,1.837680,0.136756
59,0.873600,1.857440,0.136533
60,0.873600,1.877200,0.136105
61,0.873600,1.896960,0.136115
62,0.873600,1.916720,0.134217
63,0.873600,1.936480,0.134620
64,0.873600,1.956240,0.136260
65,0.873600,1.976000,0.136320
66,0.873600,1.995760,0.137108
67,0.873600,2.015520,0.138916
68,0.873600,2.035280,0.140723
69,0.873600,2.055040,0.141146
70,0.873600,2.074800,0.142782
71,0.873600,2.094560,0.143702
72,0.873600,2.114320,0.144744
73,0.873600,2.134080,0.147842
74,0.873600,2.153840,0.149125
75,0.873600,2.173600,0.151859
76,0.936000,1.699360,0.151031
77,0.936000,1.719120,0.147596
78,0.936000,1.738880,0.144740
79,0.936000,1.758640,0.141085
80,0.936000,1.778400,0.138728
81,0.936000,1.798160,0.137543
82,0.936000,1.817920,0.136549
83,0.936000,1.837680,0.134643
84,0.936000,1.857440,0.133973
85,0.936000,1.877200,0.135065
86,0.936000,1.896960,0.135443
87,0.936000,1.916720,0.135656
88,0.936000,1.936480,0.135505
89,0.936000,1.956240,0.137190
90,0.936000,1.976000,0.137189
91,0.936000,1.995760,0.137782
92,0.936000,2.015520,0.138689
93,0.936000,2.035280,0.139937
94,0.936000,2.055040,0.140072
95,0.936000,2.074800,0.141385
96,0.936000,2.094560,0.144022
97,0.936000,2.114320,0.145267
98,0.936000,2.134080,0.148096
99,0.936000,2.153840,0.149573
100,0.936000,2.173600,0.153847
101,0.998400,1.699360,0.147079
102,0.998400,1.719120,0.143618
103,0.998400,1.738880,0.141917
104,0.998400,1.758640,0.139474
105,0.998400,1.778400,0.137988
106,0.998400,1.798160,0.137232
107,0.998400,1.817920,0.136599
108,0.998400,1.837680,0.135408
109,0.998400,1.857440,0.135954
110,0.998400,1.877200,0.136622
111,0.998400,1.896960,0.137524
112,0.998400,1.916720,0.136368
113,0.998400,1.936480,0.137172
114,0.998400,1.956240,0.138260
115,0.998400,1.976000,0.137982
116,0.998400,1.995760,0.138678
117,0.998400,2.015520,0.140433
118,0.998400,2.035280,0.141835
119,0.998400,2.055040,0.142840
120,0.998400,2.074800,0.144700
121,0.998400,2.094560,0.146092
122,0.998400,2.114320,0.148093
123,0.998400,2.134080,0.150867
124,0.998400,2.153840,0.152406
125,0.998400,2.173600,0.155927
126,1.060800,1.699360,0.148185
127,1.060800,1.719120,0.144788
128,1.060800,1.738880,0.142656
129,1.060800,1.758640,0.142069
130,1.060800,1.778400,0.141778
131,1.060800,1.798160,0.140757
132,1.060800,1.817920,0.140154
133,1.060800,1.837680,0.139075
134,1.060800,1.857440,0.139091
135,1.060800,1.877200,0.140635
136,1.060800,1.896960,0.141137
137,1.060800,1.916720,0.140117
138,1.060800,1.936480,0.140424
139,1.060800,1.956240,0.142186
140,1.060800,1.976000,0.142266
141,1.060800,1.995760,0.143148
142,1.060800,2.015520,0.144725
143,1.060800,2.035280,0.146618
144,1.060800,2.055040,0.147638
145,1.060800,2.074800,0.149069
146,1.060800,2.094560,0.150836
147,1.060800,2.114320,0.152976
148,1.060800,2.134080,0.156182
149,1.060800,2.153840,0.158466
150,1.060800,2.173600,0.163088
151,1.123200,1.699360,0.149602
152,1.123200,1.719120,0.147513
153,1.123200,1.738880,0.146011
154,1.123200,1.758640,0.146601
155,1.123200,1.778400,0.144426
156,1.123200,1.798160,0.144281
157,1.123200,1.817920,0.144204
158,1.123200,1.837680,0.143169
159,1.123200,1.857440,0.143319
160,1.123200,1.877200,0.143712
