n,d1,d2,d3
1,0.873600,1.837680,0.183365 
2,0.748800,1.699360,0.241155 
3,0.748800,1.719120,0.219644 
4,0.748800,1.738880,0.214872 
5,0.748800,1.758640,0.208138 
6,0.748800,1.778400,0.201856 
7,0.748800,1.798160,0.201804 
8,0.748800,1.817920,0.198192 
9,0.748800,1.837680,0.197512 
10,0.748800,1.857440,0.198391 
11,0.748800,1.877200,0.196564 
12,0.748800,1.896960,0.196798 
13,0.748800,1.916720,0.194266 
14,0.748800,1.936480,0.191838 
15,0.748800,1.956240,0.191252 
16,0.748800,1.976000,0.190313 
17,0.748800,1.995760,0.192805 
18,0.748800,2.015520,0.196702 
19,0.748800,2.035280,0.198234 
20,0.748800,2.055040,0.197188 
21,0.748800,2.074800,0.199850 
22,0.748800,2.094560,0.202151 
23,0.748800,2.114320,0.198744 
24,0.748800,2.134080,0.202544 
25,0.748800,2.153840,0.201881 
26,0.748800,2.173600,0.204220 
27,0.811200,1.699360,0.200870 
28,0.811200,1.719120,0.194496 
29,0.811200,1.738880,0.193532 
30,0.811200,1.758640,0.191349 
31,0.811200,1.778400,0.187410 
32,0.811200,1.798160,0.192979 
33,0.811200,1.817920,0.187082 
34,0.811200,1.837680,0.189015 
35,0.811200,1.857440,0.190326 
36,0.811200,1.877200,0.191076 
37,0.811200,1.896960,0.190727 
38,0.811200,1.916720,0.190160 
39,0.811200,1.936480,0.190942 
40,0.811200,1.956240,0.192225 
41,0.811200,1.976000,0.189662 
42,0.811200,1.995760,0.191330 
43,0.811200,2.015520,0.193558 
44,0.811200,2.035280,0.193558 
45,0.811200,2.055040,0.191961 
46,0.811200,2.074800,0.193702 
47,0.811200,2.094560,0.192423 
48,0.811200,2.114320,0.193073 
49,0.811200,2.134080,0.196313 
50,0.811200,2.153840,0.194984 
51,0.811200,2.173600,0.198326 
52,0.873600,1.699360,0.187908 
53,0.873600,1.719120,0.185809 
54,0.873600,1.738880,0.190467 
55,0.873600,1.758640,0.188105 
56,0.873600,1.778400,0.185736 
57,0.873600,1.798160,0.186110 
58,0.873600,1.817920,0.183712 
59,0.873600,1.837680,0.183365 
60,0.873600,1.857440,0.186437 
61,0.873600,1.877200,0.188623 
62,0.873600,1.896960,0.189749 
63,0.873600,1.916720,0.187065 
64,0.873600,1.936480,0.188290 
65,0.873600,1.956240,0.189692 
66,0.873600,1.976000,0.189246 
67,0.873600,1.995760,0.188204 
68,0.873600,2.015520,0.190180 
69,0.873600,2.035280,0.189746 
70,0.873600,2.055040,0.188830 
71,0.873600,2.074800,0.191430 
72,0.873600,2.094560,0.189468 
73,0.873600,2.114320,0.191943 
74,0.873600,2.134080,0.197075 
75,0.873600,2.153840,0.196955 
76,0.873600,2.173600,0.200105 
77,0.936000,1.699360,0.189513 
78,0.936000,1.719120,0.189791 
79,0.936000,1.738880,0.190913 
80,0.936000,1.758640,0.187827 
81,0.936000,1.778400,0.188917 
82,0.936000,1.798160,0.187578 
83,0.936000,1.817920,0.189303 
84,0.936000,1.837680,0.188856 
85,0.936000,1.857440,0.191872 
86,0.936000,1.877200,0.193510 
87,0.936000,1.896960,0.194219 
88,0.936000,1.916720,0.193854 
89,0.936000,1.936480,0.191518 
90,0.936000,1.956240,0.189221 
91,0.936000,1.976000,0.191145 
92,0.936000,1.995760,0.191475 
93,0.936000,2.015520,0.190543 
94,0.936000,2.035280,0.190525 
95,0.936000,2.055040,0.191403 
96,0.936000,2.074800,0.194879 
97,0.936000,2.094560,0.196897 
98,0.936000,2.114320,0.196897 
99,0.936000,2.134080,0.198230 
100,0.936000,2.153840,0.198764 
101,0.936000,2.173600,0.204128 
102,0.998400,1.699360,0.196790 
103,0.998400,1.719120,0.197256 
104,0.998400,1.738880,0.197882 
105,0.998400,1.758640,0.196534 
106,0.998400,1.778400,0.196563 
107,0.998400,1.798160,0.195605 
108,0.998400,1.817920,0.197924 
109,0.998400,1.837680,0.197150 
110,0.998400,1.857440,0.199506 
111,0.998400,1.877200,0.198541 
112,0.998400,1.896960,0.198579 
113,0.998400,1.916720,0.195717 
114,0.998400,1.936480,0.197120 
115,0.998400,1.956240,0.196010 
116,0.998400,1.976000,0.194021 
117,0.998400,1.995760,0.196695 
118,0.998400,2.015520,0.199485 
119,0.998400,2.035280,0.200200 
120,0.998400,2.055040,0.200005 
121,0.998400,2.074800,0.200747 
122,0.998400,2.094560,0.203146 
123,0.998400,2.114320,0.202331 
124,0.998400,2.134080,0.207410 
125,0.998400,2.153840,0.205765 
126,0.998400,2.173600,0.208529 
127,1.060800,1.699360,0.208219 
128,1.060800,1.719120,0.208056 
129,1.060800,1.738880,0.207631 
130,1.060800,1.758640,0.206753 
131,1.060800,1.778400,0.209168 
132,1.060800,1.798160,0.206942 
133,1.060800,1.817920,0.208194 
134,1.060800,1.837680,0.206125 
135,1.060800,1.857440,0.206818 
136,1.060800,1.877200,0.209718 
137,1.060800,1.896960,0.209609 
138,1.060800,1.916720,0.207515 
139,1.060800,1.936480,0.207115 
140,1.060800,1.956240,0.210495 
141,1.060800,1.976000,0.209576 
142,1.060800,1.995760,0.209791 
143,1.060800,2.015520,0.209560 
144,1.060800,2.035280,0.210451 
145,1.060800,2.055040,0.210676 
146,1.060800,2.074800,0.213033 
147,1.060800,2.094560,0.211918 
148,1.060800,2.114320,0.212848 
149,1.060800,2.134080,0.217031 
150,1.060800,2.153840,0.218034 
151,1.060800,2.173600,0.222574 
152,1.123200,1.699360,0.219544 
153,1.123200,1.719120,0.221013 
154,1.123200,1.738880,0.219744 
155,1.123200,1.758640,0.218891 
156,1.123200,1.778400,0.215811 
157,1.123200,1.798160,0.216787 
158,1.123200,1.817920,0.217875 
159,1.123200,1.837680,0.213858 
160,1.123200,1.857440,0.216648 
161,1.123200,1.877200,0.219675 
162,1.123200,1.896960,0.222041 
163,1.123200,1.916720,0.222129 
164,1.123200,1.936480,0.222008 
165,1.123200,1.956240,0.222878 
166,1.123200,1.976000,0.223000 
167,1.123200,1.995760,0.222881 
168,1.123200,2.015520,0.221901 
169,1.123200,2.035280,0.220256 
170,1.123200,2.055040,0.222568 
171,1.123200,2.074800,0.224345 
172,1.123200,2.094560,0.225870 
173,1.123200,2.114320,0.227782 
174,1.123200,2.134080,0.231413 
175,1.123200,2.153840,0.233676 
176,1.123200,2.173600,0.234575 
177,1.185600,1.699360,0.232045 
