n,d1,d2,d3
1,0.898560,1.778400,0.157138
2,0.898560,1.877200,0.144698
3,0.898560,1.976000,0.139221
4,0.898560,2.074800,0.140564
5,0.898560,2.173600,0.152081
6,0.948480,1.778400,0.153152
7,0.948480,1.877200,0.143719
8,0.948480,1.976000,0.140167
9,0.948480,2.074800,0.144680
10,0.948480,2.173600,0.156058
11,0.998400,1.778400,0.154957
12,0.998400,1.877200,0.146879
13,0.998400,1.976000,0.141956
14,0.998400,2.074800,0.147754
15,0.998400,2.173600,0.159428
16,1.048320,1.778400,0.157121
17,1.048320,1.877200,0.149420
18,1.048320,1.976000,0.148667
19,1.048320,2.074800,0.153737
20,1.048320,2.173600,0.167532
21,1.098240,1.778400,0.160782
22,1.098240,1.877200,0.153775
23,1.098240,1.976000,0.154628
24,1.098240,2.074800,0.159814
25,1.098240,2.173600,0.174764
