n,d1,d2,d3
1,0.187200,1.679600,0.298910
2,0.187200,1.729000,0.288869
3,0.187200,1.778400,0.273452
4,0.187200,1.827800,0.265859
5,0.187200,1.877200,0.259862
6,0.187200,1.926600,0.252727
7,0.187200,1.976000,0.265581
8,0.187200,2.025400,0.267503
9,0.187200,2.074800,0.266505
10,0.187200,2.124200,0.272108
11,0.187200,2.173600,0.276743
12,0.187200,2.223000,0.276010
13,0.249600,1.679600,0.285322
14,0.249600,1.729000,0.273975
15,0.249600,1.778400,0.264214
16,0.249600,1.827800,0.256546
17,0.249600,1.877200,0.252064
18,0.249600,1.926600,0.263927
19,0.249600,1.976000,0.263923
20,0.249600,2.025400,0.265308
21,0.249600,2.074800,0.266905
22,0.249600,2.124200,0.270363
23,0.249600,2.173600,0.271008
24,0.249600,2.223000,0.264716
25,0.312000,1.679600,0.283233
26,0.312000,1.729000,0.271522
27,0.312000,1.778400,0.260669
28,0.312000,1.827800,0.253506
29,0.312000,1.877200,0.266258
30,0.312000,1.926600,0.268086
31,0.312000,1.976000,0.265663
32,0.312000,2.025400,0.267243
33,0.312000,2.074800,0.267750
34,0.312000,2.124200,0.269353
35,0.312000,2.173600,0.255344
36,0.312000,2.223000,0.256781
37,0.374400,1.679600,0.283712
38,0.374400,1.729000,0.270269
39,0.374400,1.778400,0.277533
40,0.374400,1.827800,0.272890
41,0.374400,1.877200,0.273871
42,0.374400,1.926600,0.274005
43,0.374400,1.976000,0.269855
44,0.374400,2.025400,0.270946
45,0.374400,2.074800,0.269579
46,0.374400,2.124200,0.256373
47,0.374400,2.173600,0.250374
48,0.374400,2.223000,0.241401
49,0.436800,1.679600,0.281456
50,0.436800,1.729000,0.293195
51,0.436800,1.778400,0.286781
52,0.436800,1.827800,0.281332
53,0.436800,1.877200,0.280842
54,0.436800,1.926600,0.283213
55,0.436800,1.976000,0.271442
56,0.436800,2.025400,0.259605
57,0.436800,2.074800,0.257992
58,0.436800,2.124200,0.252221
59,0.436800,2.173600,0.242287
60,0.436800,2.223000,0.242465
61,0.499200,1.679600,0.302393
62,0.499200,1.729000,0.297762
63,0.499200,1.778400,0.293657
64,0.499200,1.827800,0.289987
65,0.499200,1.877200,0.286102
66,0.499200,1.926600,0.283537
67,0.499200,1.976000,0.257693
68,0.499200,2.025400,0.258025
69,0.499200,2.074800,0.251640
70,0.499200,2.124200,0.243531
71,0.499200,2.173600,0.239969
72,0.499200,2.223000,0.241181
73,0.561600,1.679600,0.306779
74,0.561600,1.729000,0.298182
75,0.561600,1.778400,0.295566
76,0.561600,1.827800,0.287565
77,0.561600,1.877200,0.284135
78,0.561600,1.926600,0.262555
79,0.561600,1.976000,0.252318
80,0.561600,2.025400,0.250264
81,0.561600,2.074800,0.238905
82,0.561600,2.124200,0.238481
83,0.561600,2.173600,0.239248
84,0.561600,2.223000,0.240017
85,0.624000,1.679600,0.297625
86,0.624000,1.729000,0.292304
87,0.624000,1.778400,0.285452
88,0.624000,1.827800,0.282266
89,0.624000,1.877200,0.258855
90,0.624000,1.926600,0.249511
91,0.624000,1.976000,0.235520
92,0.624000,2.025400,0.234748
93,0.624000,2.074800,0.230836
94,0.624000,2.124200,0.234221
95,0.624000,2.173600,0.235666
96,0.624000,2.223000,0.237569
97,0.686400,1.679600,0.293971
98,0.686400,1.729000,0.281708
99,0.686400,1.778400,0.260365
100,0.686400,1.827800,0.253272
101,0.686400,1.877200,0.243564
102,0.686400,1.926600,0.232591
103,0.686400,1.976000,0.227165
104,0.686400,2.025400,0.225772
105,0.686400,2.074800,0.225920
106,0.686400,2.124200,0.227688
107,0.686400,2.173600,0.229974
108,0.686400,2.223000,0.231983
109,0.748800,1.679600,0.284098
110,0.748800,1.729000,0.257455
111,0.748800,1.778400,0.248360
112,0.748800,1.827800,0.239358
113,0.748800,1.877200,0.226854
114,0.748800,1.926600,0.222428
115,0.748800,1.976000,0.217237
116,0.748800,2.025400,0.219286
117,0.748800,2.074800,0.219035
118,0.748800,2.124200,0.222339
119,0.748800,2.173600,0.222677
120,0.748800,2.223000,0.224436
121,0.811200,1.679600,0.255113
122,0.811200,1.729000,0.244020
123,0.811200,1.778400,0.234878
124,0.811200,1.827800,0.223361
125,0.811200,1.877200,0.220146
126,0.811200,1.926600,0.215491
127,0.811200,1.976000,0.210787
128,0.811200,2.025400,0.213533
129,0.811200,2.074800,0.214387
130,0.811200,2.124200,0.214919
131,0.811200,2.173600,0.215726
132,0.811200,2.223000,0.218619
133,0.873600,1.679600,0.244240
134,0.873600,1.729000,0.231850
135,0.873600,1.778400,0.223407
136,0.873600,1.827800,0.213943
137,0.873600,1.877200,0.212196
138,0.873600,1.926600,0.210611
139,0.873600,1.976000,0.207891
140,0.873600,2.025400,0.209999
141,0.873600,2.074800,0.208969
142,0.873600,2.124200,0.210872
143,0.873600,2.173600,0.212527
144,0.873600,2.223000,0.213884
145,0.936000,1.679600,0.233594
146,0.936000,1.729000,0.224196
147,0.936000,1.778400,0.216881
148,0.936000,1.827800,0.212018
149,0.936000,1.877200,0.210116
150,0.936000,1.926600,0.207877
151,0.936000,1.976000,0.206686
152,0.936000,2.025400,0.206334
153,0.936000,2.074800,0.206820
154,0.936000,2.124200,0.207071
155,0.936000,2.173600,0.209130
156,0.936000,2.223000,0.212049
157,0.998400,1.679600,0.231714
158,0.998400,1.729000,0.222577
159,0.998400,1.778400,0.216119
160,0.998400,1.827800,0.211166
161,0.998400,1.877200,0.211167
162,0.998400,1.926600,0.208210
163,0.998400,1.976000,0.205133
164,0.998400,2.025400,0.206708
165,0.998400,2.074800,0.205638
166,0.998400,2.124200,0.205871
167,0.998400,2.173600,0.208612
168,0.998400,2.223000,0.211624
169,1.060800,1.679600,0.231059
170,1.060800,1.729000,0.222905
171,1.060800,1.778400,0.218927
172,1.060800,1.827800,0.213719
173,1.060800,1.877200,0.213683
174,1.060800,1.926600,0.210448
175,1.060800,1.976000,0.208842
176,1.060800,2.025400,0.208576
177,1.060800,2.074800,0.207104
178,1.060800,2.124200,0.210633
179,1.060800,2.173600,0.212889
180,1.060800,2.223000,0.211800
181,1.123200,1.679600,0.231082
182,1.123200,1.729000,0.225551
183,1.123200,1.778400,0.221134
184,1.123200,1.827800,0.215721
185,1.123200,1.877200,0.214977
186,1.123200,1.926600,0.212671
187,1.123200,1.976000,0.208838
188,1.123200,2.025400,0.211404
