n,d1,d2,d3
1,0.062400,1.699360,0.292057 
2,0.062400,1.719120,0.288965 
3,0.062400,1.738880,0.288626 
4,0.062400,1.758640,0.285790 
5,0.062400,1.778400,0.294643 
6,0.062400,1.798160,0.289656 
7,0.062400,1.817920,0.289793 
8,0.062400,1.837680,0.284841 
9,0.062400,1.857440,0.283043 
10,0.062400,1.877200,0.282091 
11,0.062400,1.896960,0.276712 
12,0.062400,1.916720,0.271810 
13,0.062400,1.936480,0.269128 
14,0.062400,1.956240,0.268299 
15,0.062400,1.976000,0.263070 
16,0.062400,1.995760,0.260339 
17,0.062400,2.015520,0.256143 
18,0.062400,2.035280,0.255893 
19,0.062400,2.055040,0.256325 
20,0.062400,2.074800,0.255759 
21,0.062400,2.094560,0.260279 
22,0.062400,2.114320,0.261527 
23,0.062400,2.134080,0.261615 
24,0.062400,2.153840,0.259240 
25,0.062400,2.173600,0.265804 
26,0.124800,1.699360,0.279579 
27,0.124800,1.719120,0.285904 
28,0.124800,1.738880,0.282974 
29,0.124800,1.758640,0.281756 
30,0.124800,1.778400,0.274010 
31,0.124800,1.798160,0.273621 
32,0.124800,1.817920,0.269903 
33,0.124800,1.837680,0.265766 
34,0.124800,1.857440,0.264038 
35,0.124800,1.877200,0.261336 
36,0.124800,1.896960,0.258679 
37,0.124800,1.916720,0.252792 
38,0.124800,1.936480,0.250554 
39,0.124800,1.956240,0.247896 
40,0.124800,1.976000,0.244501 
41,0.124800,1.995760,0.242824 
42,0.124800,2.015520,0.241430 
43,0.124800,2.035280,0.247831 
44,0.124800,2.055040,0.249080 
45,0.124800,2.074800,0.248310 
46,0.124800,2.094560,0.250127 
47,0.124800,2.114320,0.251682 
48,0.124800,2.134080,0.253078 
49,0.124800,2.153840,0.252947 
50,0.124800,2.173600,0.256980 
51,0.187200,1.699360,0.277538 
52,0.187200,1.719120,0.272871 
53,0.187200,1.738880,0.269379 
54,0.187200,1.758640,0.264852 
55,0.187200,1.778400,0.260472 
56,0.187200,1.798160,0.257419 
57,0.187200,1.817920,0.252855 
58,0.187200,1.837680,0.249392 
59,0.187200,1.857440,0.247152 
60,0.187200,1.877200,0.245809 
61,0.187200,1.896960,0.242143 
62,0.187200,1.916720,0.237866 
63,0.187200,1.936480,0.236310 
64,0.187200,1.956240,0.236241 
65,0.187200,1.976000,0.236724 
66,0.187200,1.995760,0.234894 
67,0.187200,2.015520,0.236678 
68,0.187200,2.035280,0.237827 
69,0.187200,2.055040,0.240216 
70,0.187200,2.074800,0.240747 
71,0.187200,2.094560,0.243429 
72,0.187200,2.114320,0.245672 
73,0.187200,2.134080,0.247415 
74,0.187200,2.153840,0.249953 
75,0.187200,2.173600,0.252547 
76,0.249600,1.699360,0.266939 
77,0.249600,1.719120,0.263171 
78,0.249600,1.738880,0.258182 
79,0.249600,1.758640,0.254981 
80,0.249600,1.778400,0.248678 
81,0.249600,1.798160,0.245168 
82,0.249600,1.817920,0.242397 
83,0.249600,1.837680,0.236223 
84,0.249600,1.857440,0.236107 
85,0.249600,1.877200,0.235626 
86,0.249600,1.896960,0.238566 
87,0.249600,1.916720,0.235160 
88,0.249600,1.936480,0.234565 
89,0.249600,1.956240,0.236571 
90,0.249600,1.976000,0.236279 
91,0.249600,1.995760,0.236468 
92,0.249600,2.015520,0.235785 
93,0.249600,2.035280,0.236414 
94,0.249600,2.055040,0.237399 
95,0.249600,2.074800,0.240315 
96,0.249600,2.094560,0.241306 
97,0.249600,2.114320,0.241371 
98,0.249600,2.134080,0.242563 
99,0.249600,2.153840,0.240349 
100,0.249600,2.173600,0.243131 
101,0.312000,1.699360,0.265131 
102,0.312000,1.719120,0.257354 
103,0.312000,1.738880,0.254248 
104,0.312000,1.758640,0.248384 
105,0.312000,1.778400,0.242492 
106,0.312000,1.798160,0.240668 
107,0.312000,1.817920,0.239114 
108,0.312000,1.837680,0.239553 
109,0.312000,1.857440,0.236891 
110,0.312000,1.877200,0.235479 
111,0.312000,1.896960,0.234532 
112,0.312000,1.916720,0.236640 
113,0.312000,1.936480,0.234247 
114,0.312000,1.956240,0.236626 
115,0.312000,1.976000,0.235450 
116,0.312000,1.995760,0.235159 
117,0.312000,2.015520,0.235433 
118,0.312000,2.035280,0.237000 
119,0.312000,2.055040,0.236106 
120,0.312000,2.074800,0.237602 
121,0.312000,2.094560,0.237144 
122,0.312000,2.114320,0.238379 
123,0.312000,2.134080,0.240505 
124,0.312000,2.153840,0.237161 
125,0.312000,2.173600,0.232991 
126,0.374400,1.699360,0.260338 
127,0.374400,1.719120,0.252513 
128,0.374400,1.738880,0.248517 
129,0.374400,1.758640,0.246065 
130,0.374400,1.778400,0.247589 
131,0.374400,1.798160,0.242810 
132,0.374400,1.817920,0.241441 
133,0.374400,1.837680,0.237725 
134,0.374400,1.857440,0.239091 
135,0.374400,1.877200,0.241958 
136,0.374400,1.896960,0.239827 
137,0.374400,1.916720,0.241048 
138,0.374400,1.936480,0.241769 
139,0.374400,1.956240,0.242275 
140,0.374400,1.976000,0.237524 
141,0.374400,1.995760,0.237178 
142,0.374400,2.015520,0.234983 
143,0.374400,2.035280,0.234342 
144,0.374400,2.055040,0.236984 
145,0.374400,2.074800,0.233151 
146,0.374400,2.094560,0.233125 
147,0.374400,2.114320,0.230028 
148,0.374400,2.134080,0.228663 
149,0.374400,2.153840,0.228071 
150,0.374400,2.173600,0.225769 
151,0.436800,1.699360,0.258974 
152,0.436800,1.719120,0.259231 
153,0.436800,1.738880,0.253825 
154,0.436800,1.758640,0.255748 
155,0.436800,1.778400,0.249695 
156,0.436800,1.798160,0.251142 
157,0.436800,1.817920,0.246791 
158,0.436800,1.837680,0.243453 
159,0.436800,1.857440,0.244792 
160,0.436800,1.877200,0.245713 
161,0.436800,1.896960,0.244895 
162,0.436800,1.916720,0.247220 
163,0.436800,1.936480,0.246957 
164,0.436800,1.956240,0.243919 
165,0.436800,1.976000,0.236048 
166,0.436800,1.995760,0.234163 
167,0.436800,2.015520,0.236212 
168,0.436800,2.035280,0.234210 
169,0.436800,2.055040,0.232270 
170,0.436800,2.074800,0.229097 
171,0.436800,2.094560,0.228892 
172,0.436800,2.114320,0.225639 
173,0.436800,2.134080,0.224976 
174,0.436800,2.153840,0.221697 
175,0.436800,2.173600,0.214687 
176,0.499200,1.699360,0.262858 
177,0.499200,1.719120,0.257768 
178,0.499200,1.738880,0.255865 
179,0.499200,1.758640,0.254077 
180,0.499200,1.778400,0.251405 
181,0.499200,1.798160,0.251827 
182,0.499200,1.817920,0.250201 
183,0.499200,1.837680,0.248942 
184,0.499200,1.857440,0.248848 
185,0.499200,1.877200,0.246659 
186,0.499200,1.896960,0.243989 
187,0.499200,1.916720,0.243856 
188,0.499200,1.936480,0.245168 
189,0.499200,1.956240,0.242466 
190,0.499200,1.976000,0.233616 
191,0.499200,1.995760,0.231157 
192,0.499200,2.015520,0.226752 
193,0.499200,2.035280,0.226834 
194,0.499200,2.055040,0.224254 
195,0.499200,2.074800,0.221873 
196,0.499200,2.094560,0.223165 
197,0.499200,2.114320,0.211785 
198,0.499200,2.134080,0.209363 
199,0.499200,2.153840,0.207799 
200,0.499200,2.173600,0.207912 
201,0.561600,1.699360,0.261905 
202,0.561600,1.719120,0.253336 
203,0.561600,1.738880,0.253852 
204,0.561600,1.758640,0.252602 
205,0.561600,1.778400,0.252385 
206,0.561600,1.798160,0.249674 
207,0.561600,1.817920,0.244946 
208,0.561600,1.837680,0.239629 
209,0.561600,1.857440,0.238835 
210,0.561600,1.877200,0.239973 
211,0.561600,1.896960,0.241288 
212,0.561600,1.916720,0.236363 
213,0.561600,1.936480,0.234984 
214,0.561600,1.956240,0.231409 
215,0.561600,1.976000,0.223240 
216,0.561600,1.995760,0.219762 
217,0.561600,2.015520,0.216382 
218,0.561600,2.035280,0.214853 
219,0.561600,2.055040,0.209763 
220,0.561600,2.074800,0.208030 
221,0.561600,2.094560,0.206896 
222,0.561600,2.114320,0.206060 
223,0.561600,2.134080,0.205035 
224,0.561600,2.153840,0.203966 
225,0.561600,2.173600,0.206716 
226,0.624000,1.699360,0.248976 
227,0.624000,1.719120,0.244458 
228,0.624000,1.738880,0.242781 
229,0.624000,1.758640,0.238668 
230,0.624000,1.778400,0.235342 
231,0.624000,1.798160,0.233696 
232,0.624000,1.817920,0.234508 
233,0.624000,1.837680,0.230866 
234,0.624000,1.857440,0.226175 
235,0.624000,1.877200,0.226069 
236,0.624000,1.896960,0.219370 
237,0.624000,1.916720,0.218335 
238,0.624000,1.936480,0.217234 
239,0.624000,1.956240,0.217004 
240,0.624000,1.976000,0.202460 
241,0.624000,1.995760,0.198271 
242,0.624000,2.015520,0.197040 
243,0.624000,2.035280,0.195848 
244,0.624000,2.055040,0.193764 
245,0.624000,2.074800,0.194052 
246,0.624000,2.094560,0.194819 
247,0.624000,2.114320,0.197223 
248,0.624000,2.134080,0.198745 
249,0.624000,2.153840,0.198698 
250,0.624000,2.173600,0.202529 
251,0.686400,1.699360,0.236259 
252,0.686400,1.719120,0.231270 
253,0.686400,1.738880,0.230102 
254,0.686400,1.758640,0.224886 
255,0.686400,1.778400,0.224432 
256,0.686400,1.798160,0.221886 
257,0.686400,1.817920,0.217760 
258,0.686400,1.837680,0.212148 
259,0.686400,1.857440,0.212825 
260,0.686400,1.877200,0.208497 
261,0.686400,1.896960,0.207752 
262,0.686400,1.916720,0.198835 
263,0.686400,1.936480,0.193077 
264,0.686400,1.956240,0.193445 
265,0.686400,1.976000,0.188182 
266,0.686400,1.995760,0.187527 
267,0.686400,2.015520,0.186315 
268,0.686400,2.035280,0.186491 
269,0.686400,2.055040,0.187730 
270,0.686400,2.074800,0.189879 
271,0.686400,2.094560,0.191222 
272,0.686400,2.114320,0.192800 
273,0.686400,2.134080,0.194488 
274,0.686400,2.153840,0.197071 
275,0.686400,2.173600,0.199727 
276,0.748800,1.699360,0.227368 
277,0.748800,1.719120,0.223147 
278,0.748800,1.738880,0.216334 
279,0.748800,1.758640,0.210141 
280,0.748800,1.778400,0.205677 
281,0.748800,1.798160,0.204607 
282,0.748800,1.817920,0.201057 
283,0.748800,1.837680,0.201449 
284,0.748800,1.857440,0.189951 
285,0.748800,1.877200,0.186555 
286,0.748800,1.896960,0.185809 
287,0.748800,1.916720,0.183155 
288,0.748800,1.936480,0.181090 
289,0.748800,1.956240,0.181306 
290,0.748800,1.976000,0.178208 
291,0.748800,1.995760,0.180335 
292,0.748800,2.015520,0.180524 
293,0.748800,2.035280,0.181026 
294,0.748800,2.055040,0.181077 
295,0.748800,2.074800,0.185576 
296,0.748800,2.094560,0.186313 
297,0.748800,2.114320,0.186891 
298,0.748800,2.134080,0.189980 
299,0.748800,2.153840,0.191145 
300,0.748800,2.173600,0.196483 
301,0.811200,1.699360,0.209103 
302,0.811200,1.719120,0.202524 
303,0.811200,1.738880,0.201389 
304,0.811200,1.758640,0.197370 
305,0.811200,1.778400,0.194671 
306,0.811200,1.798160,0.188539 
307,0.811200,1.817920,0.182661 
308,0.811200,1.837680,0.180279 
309,0.811200,1.857440,0.178711 
310,0.811200,1.877200,0.178789 
311,0.811200,1.896960,0.176520 
312,0.811200,1.916720,0.175884 
313,0.811200,1.936480,0.178337 
314,0.811200,1.956240,0.178519 
315,0.811200,1.976000,0.173418 
316,0.811200,1.995760,0.174750 
317,0.811200,2.015520,0.176351 
318,0.811200,2.035280,0.178349 
319,0.811200,2.055040,0.180170 
320,0.811200,2.074800,0.180287 
321,0.811200,2.094560,0.182080 
322,0.811200,2.114320,0.183194 
323,0.811200,2.134080,0.187010 
324,0.811200,2.153840,0.188533 
325,0.811200,2.173600,0.192458 
326,0.873600,1.699360,0.193830 
327,0.873600,1.719120,0.193222 
328,0.873600,1.738880,0.183833 
329,0.873600,1.758640,0.180933 
330,0.873600,1.778400,0.178911 
331,0.873600,1.798160,0.175992 
332,0.873600,1.817920,0.173574 
333,0.873600,1.837680,0.170663 
334,0.873600,1.857440,0.171933 
335,0.873600,1.877200,0.172738 
336,0.873600,1.896960,0.172395 
337,0.873600,1.916720,0.170965 
338,0.873600,1.936480,0.170959 
339,0.873600,1.956240,0.173686 
340,0.873600,1.976000,0.172923 
341,0.873600,1.995760,0.174163 
342,0.873600,2.015520,0.174533 
343,0.873600,2.035280,0.176816 
344,0.873600,2.055040,0.176939 
345,0.873600,2.074800,0.179040 
346,0.873600,2.094560,0.180098 
347,0.873600,2.114320,0.182443 
348,0.873600,2.134080,0.186239 
349,0.873600,2.153840,0.187435 
350,0.873600,2.173600,0.191682 
351,0.936000,1.699360,0.184780 
352,0.936000,1.719120,0.181802 
