n,d1,d2,d3
1,0.748800,1.699360,0.248199 
2,0.748800,1.719120,0.242992 
3,0.748800,1.738880,0.235213 
4,0.748800,1.758640,0.228328 
5,0.748800,1.778400,0.224010 
6,0.748800,1.798160,0.221955 
7,0.748800,1.817920,0.217860 
8,0.748800,1.837680,0.217937 
9,0.748800,1.857440,0.205815 
10,0.748800,1.877200,0.202045 
11,0.748800,1.896960,0.200800 
12,0.748800,1.916720,0.198439 
13,0.748800,1.936480,0.195539 
14,0.748800,1.956240,0.195284 
15,0.748800,1.976000,0.191313 
16,0.748800,1.995760,0.193227 
17,0.748800,2.015520,0.193784 
18,0.748800,2.035280,0.193476 
19,0.748800,2.055040,0.193274 
20,0.748800,2.074800,0.197396 
21,0.748800,2.094560,0.197269 
22,0.748800,2.114320,0.197300 
23,0.748800,2.134080,0.199896 
24,0.748800,2.153840,0.200742 
25,0.748800,2.173600,0.205865 
26,0.811200,1.699360,0.227561 
27,0.811200,1.719120,0.219861 
28,0.811200,1.738880,0.218615 
29,0.811200,1.758640,0.214012 
30,0.811200,1.778400,0.211228 
31,0.811200,1.798160,0.204124 
32,0.811200,1.817920,0.197693 
33,0.811200,1.837680,0.194953 
34,0.811200,1.857440,0.193040 
35,0.811200,1.877200,0.193006 
36,0.811200,1.896960,0.190162 
37,0.811200,1.916720,0.189806 
38,0.811200,1.936480,0.192246 
39,0.811200,1.956240,0.191410 
40,0.811200,1.976000,0.186131 
41,0.811200,1.995760,0.186850 
42,0.811200,2.015520,0.188119 
43,0.811200,2.035280,0.189180 
44,0.811200,2.055040,0.190736 
45,0.811200,2.074800,0.190224 
46,0.811200,2.094560,0.191819 
47,0.811200,2.114320,0.191944 
48,0.811200,2.134080,0.195256 
49,0.811200,2.153840,0.196434 
50,0.811200,2.173600,0.200199 
51,0.873600,1.699360,0.211103 
52,0.873600,1.719120,0.209953 
53,0.873600,1.738880,0.200067 
54,0.873600,1.758640,0.197243 
55,0.873600,1.778400,0.194144 
56,0.873600,1.798160,0.190565 
57,0.873600,1.817920,0.188238 
58,0.873600,1.837680,0.184920 
59,0.873600,1.857440,0.185766 
60,0.873600,1.877200,0.186442 
61,0.873600,1.896960,0.185688 
62,0.873600,1.916720,0.184312 
63,0.873600,1.936480,0.183870 
64,0.873600,1.956240,0.185967 
65,0.873600,1.976000,0.184255 
66,0.873600,1.995760,0.185122 
67,0.873600,2.015520,0.185212 
68,0.873600,2.035280,0.187001 
69,0.873600,2.055040,0.186619 
70,0.873600,2.074800,0.188067 
71,0.873600,2.094560,0.189027 
72,0.873600,2.114320,0.190658 
73,0.873600,2.134080,0.193897 
74,0.873600,2.153840,0.194721 
75,0.873600,2.173600,0.198926 
76,0.936000,1.699360,0.201593 
77,0.936000,1.719120,0.197951 
78,0.936000,1.738880,0.195797 
79,0.936000,1.758640,0.192093 
80,0.936000,1.778400,0.189063 
81,0.936000,1.798160,0.188001 
82,0.936000,1.817920,0.187123 
83,0.936000,1.837680,0.185010 
84,0.936000,1.857440,0.184801 
85,0.936000,1.877200,0.186377 
86,0.936000,1.896960,0.185895 
87,0.936000,1.916720,0.187170 
88,0.936000,1.936480,0.186323 
89,0.936000,1.956240,0.186954 
90,0.936000,1.976000,0.184601 
91,0.936000,1.995760,0.185160 
92,0.936000,2.015520,0.185164 
93,0.936000,2.035280,0.186140 
94,0.936000,2.055040,0.186809 
95,0.936000,2.074800,0.187615 
96,0.936000,2.094560,0.191081 
97,0.936000,2.114320,0.191370 
98,0.936000,2.134080,0.193555 
99,0.936000,2.153840,0.194357 
100,0.936000,2.173600,0.198865 
101,0.998400,1.699360,0.199897 
102,0.998400,1.719120,0.196395 
103,0.998400,1.738880,0.195585 
104,0.998400,1.758640,0.193003 
105,0.998400,1.778400,0.191615 
106,0.998400,1.798160,0.189613 
107,0.998400,1.817920,0.188900 
108,0.998400,1.837680,0.186631 
109,0.998400,1.857440,0.187350 
110,0.998400,1.877200,0.188964 
111,0.998400,1.896960,0.187422 
112,0.998400,1.916720,0.186201 
113,0.998400,1.936480,0.187329 
114,0.998400,1.956240,0.188262 
115,0.998400,1.976000,0.186198 
116,0.998400,1.995760,0.187708 
117,0.998400,2.015520,0.188609 
118,0.998400,2.035280,0.189704 
119,0.998400,2.055040,0.189465 
120,0.998400,2.074800,0.190824 
121,0.998400,2.094560,0.192064 
122,0.998400,2.114320,0.192136 
123,0.998400,2.134080,0.195407 
124,0.998400,2.153840,0.195928 
125,0.998400,2.173600,0.199315 
126,1.060800,1.699360,0.205737 
127,1.060800,1.719120,0.202035 
128,1.060800,1.738880,0.198432 
129,1.060800,1.758640,0.197923 
130,1.060800,1.778400,0.197304 
131,1.060800,1.798160,0.194801 
