n,d1,d2,d3
1,0.062400,1.699360,0.255905 
2,0.062400,1.719120,0.253054 
3,0.062400,1.738880,0.252536 
4,0.062400,1.758640,0.250299 
5,0.062400,1.778400,0.248288 
6,0.062400,1.798160,0.244273 
7,0.062400,1.817920,0.243494 
8,0.062400,1.837680,0.239121 
9,0.062400,1.857440,0.233685 
10,0.062400,1.877200,0.229462 
11,0.062400,1.896960,0.227368 
12,0.062400,1.916720,0.223997 
13,0.062400,1.936480,0.220988 
14,0.062400,1.956240,0.219225 
15,0.062400,1.976000,0.212721 
16,0.062400,1.995760,0.213669 
17,0.062400,2.015520,0.210580 
18,0.062400,2.035280,0.207356 
19,0.062400,2.055040,0.205789 
20,0.062400,2.074800,0.205701 
21,0.062400,2.094560,0.213571 
22,0.062400,2.114320,0.213825 
23,0.062400,2.134080,0.213059 
24,0.062400,2.153840,0.213418 
25,0.062400,2.173600,0.215341 
26,0.124800,1.699360,0.247246 
27,0.124800,1.719120,0.243505 
28,0.124800,1.738880,0.240174 
29,0.124800,1.758640,0.238614 
30,0.124800,1.778400,0.234705 
31,0.124800,1.798160,0.227833 
32,0.124800,1.817920,0.223935 
33,0.124800,1.837680,0.220172 
34,0.124800,1.857440,0.216714 
35,0.124800,1.877200,0.214743 
36,0.124800,1.896960,0.213589 
37,0.124800,1.916720,0.209892 
38,0.124800,1.936480,0.207976 
39,0.124800,1.956240,0.206284 
40,0.124800,1.976000,0.199191 
41,0.124800,1.995760,0.200219 
42,0.124800,2.015520,0.198502 
43,0.124800,2.035280,0.207523 
44,0.124800,2.055040,0.206026 
45,0.124800,2.074800,0.205558 
46,0.124800,2.094560,0.206914 
47,0.124800,2.114320,0.207792 
48,0.124800,2.134080,0.208183 
49,0.124800,2.153840,0.207422 
50,0.124800,2.173600,0.208989 
51,0.187200,1.699360,0.237496 
52,0.187200,1.719120,0.232713 
53,0.187200,1.738880,0.225313 
54,0.187200,1.758640,0.220415 
55,0.187200,1.778400,0.215060 
56,0.187200,1.798160,0.213987 
57,0.187200,1.817920,0.209733 
58,0.187200,1.837680,0.207312 
59,0.187200,1.857440,0.204933 
60,0.187200,1.877200,0.203762 
61,0.187200,1.896960,0.201608 
62,0.187200,1.916720,0.197550 
63,0.187200,1.936480,0.195400 
64,0.187200,1.956240,0.197513 
65,0.187200,1.976000,0.199655 
66,0.187200,1.995760,0.199537 
67,0.187200,2.015520,0.200517 
68,0.187200,2.035280,0.201238 
69,0.187200,2.055040,0.202303 
70,0.187200,2.074800,0.200345 
71,0.187200,2.094560,0.203143 
72,0.187200,2.114320,0.204074 
73,0.187200,2.134080,0.206176 
74,0.187200,2.153840,0.206054 
75,0.187200,2.173600,0.208992 
76,0.249600,1.699360,0.224347 
77,0.249600,1.719120,0.218150 
78,0.249600,1.738880,0.214880 
79,0.249600,1.758640,0.210791 
80,0.249600,1.778400,0.206138 
81,0.249600,1.798160,0.204696 
82,0.249600,1.817920,0.202572 
83,0.249600,1.837680,0.198564 
84,0.249600,1.857440,0.195397 
85,0.249600,1.877200,0.195600 
86,0.249600,1.896960,0.203384 
87,0.249600,1.916720,0.201584 
88,0.249600,1.936480,0.198925 
