n,d1,d2,d3
1,0.748800,1.699360,0.188662 
2,0.748800,1.719120,0.172040 
3,0.748800,1.738880,0.168471 
4,0.748800,1.758640,0.164472 
5,0.748800,1.778400,0.160658 
6,0.748800,1.798160,0.160831 
7,0.748800,1.817920,0.157741 
8,0.748800,1.837680,0.157889 
9,0.748800,1.857440,0.158067 
10,0.748800,1.877200,0.155206 
11,0.748800,1.896960,0.155320 
12,0.748800,1.916720,0.154154 
13,0.748800,1.936480,0.152878 
14,0.748800,1.956240,0.153286 
15,0.748800,1.976000,0.151642 
16,0.748800,1.995760,0.153825 
17,0.748800,2.015520,0.155354 
18,0.748800,2.035280,0.157131 
19,0.748800,2.055040,0.157313 
20,0.748800,2.074800,0.161273 
21,0.748800,2.094560,0.163234 
22,0.748800,2.114320,0.164210 
23,0.748800,2.134080,0.167611 
24,0.748800,2.153840,0.170307 
25,0.748800,2.173600,0.173209 
26,0.811200,1.699360,0.160690 
27,0.811200,1.719120,0.155557 
28,0.811200,1.738880,0.154507 
29,0.811200,1.758640,0.152123 
30,0.811200,1.778400,0.150258 
31,0.811200,1.798160,0.152609 
32,0.811200,1.817920,0.148311 
33,0.811200,1.837680,0.148218 
34,0.811200,1.857440,0.149381 
35,0.811200,1.877200,0.150755 
36,0.811200,1.896960,0.148784 
37,0.811200,1.916720,0.149991 
38,0.811200,1.936480,0.150401 
39,0.811200,1.956240,0.151619 
40,0.811200,1.976000,0.149087 
41,0.811200,1.995760,0.151134 
42,0.811200,2.015520,0.153511 
43,0.811200,2.035280,0.155475 
44,0.811200,2.055040,0.157394 
45,0.811200,2.074800,0.159684 
46,0.811200,2.094560,0.160413 
47,0.811200,2.114320,0.161370 
48,0.811200,2.134080,0.164561 
49,0.811200,2.153840,0.166473 
50,0.811200,2.173600,0.170053 
51,0.873600,1.699360,0.149159 
52,0.873600,1.719120,0.149129 
53,0.873600,1.738880,0.149555 
54,0.873600,1.758640,0.146601 
55,0.873600,1.778400,0.144817 
56,0.873600,1.798160,0.144732 
57,0.873600,1.817920,0.142880 
58,0.873600,1.837680,0.142162 
59,0.873600,1.857440,0.144407 
60,0.873600,1.877200,0.145837 
61,0.873600,1.896960,0.146458 
62,0.873600,1.916720,0.146298 
63,0.873600,1.936480,0.146373 
64,0.873600,1.956240,0.148560 
65,0.873600,1.976000,0.148591 
66,0.873600,1.995760,0.151254 
67,0.873600,2.015520,0.153523 
68,0.873600,2.035280,0.154879 
69,0.873600,2.055040,0.155712 
70,0.873600,2.074800,0.158008 
71,0.873600,2.094560,0.157929 
72,0.873600,2.114320,0.160387 
73,0.873600,2.134080,0.165202 
74,0.873600,2.153840,0.167008 
75,0.873600,2.173600,0.171355 
76,0.936000,1.699360,0.148761 
77,0.936000,1.719120,0.148415 
78,0.936000,1.738880,0.148168 
79,0.936000,1.758640,0.145896 
80,0.936000,1.778400,0.145410 
81,0.936000,1.798160,0.145107 
82,0.936000,1.817920,0.145808 
83,0.936000,1.837680,0.145017 
84,0.936000,1.857440,0.147031 
85,0.936000,1.877200,0.148853 
86,0.936000,1.896960,0.149829 
87,0.936000,1.916720,0.150894 
88,0.936000,1.936480,0.151536 
89,0.936000,1.956240,0.152786 
90,0.936000,1.976000,0.153212 
91,0.936000,1.995760,0.153135 
92,0.936000,2.015520,0.154278 
93,0.936000,2.035280,0.155803 
94,0.936000,2.055040,0.157538 
95,0.936000,2.074800,0.160507 
96,0.936000,2.094560,0.162705 
97,0.936000,2.114320,0.164127 
98,0.936000,2.134080,0.166307 
99,0.936000,2.153840,0.168496 
100,0.936000,2.173600,0.173767 
101,0.998400,1.699360,0.151562 
102,0.998400,1.719120,0.151445 
103,0.998400,1.738880,0.150929 
104,0.998400,1.758640,0.149734 
105,0.998400,1.778400,0.149519 
106,0.998400,1.798160,0.150440 
107,0.998400,1.817920,0.150470 
108,0.998400,1.837680,0.150692 
109,0.998400,1.857440,0.152521 
110,0.998400,1.877200,0.154558 
111,0.998400,1.896960,0.156265 
112,0.998400,1.916720,0.155303 
113,0.998400,1.936480,0.156351 
114,0.998400,1.956240,0.156848 
115,0.998400,1.976000,0.156418 
116,0.998400,1.995760,0.158741 
117,0.998400,2.015520,0.161054 
118,0.998400,2.035280,0.162809 
119,0.998400,2.055040,0.163932 
120,0.998400,2.074800,0.165901 
121,0.998400,2.094560,0.167454 
122,0.998400,2.114320,0.168739 
123,0.998400,2.134080,0.173153 
124,0.998400,2.153840,0.174310 
125,0.998400,2.173600,0.178268 
126,1.060800,1.699360,0.159524 
127,1.060800,1.719120,0.158839 
128,1.060800,1.738880,0.158398 
129,1.060800,1.758640,0.158358 
130,1.060800,1.778400,0.159153 
131,1.060800,1.798160,0.158569 
132,1.060800,1.817920,0.160694 
133,1.060800,1.837680,0.160663 
134,1.060800,1.857440,0.161911 
135,1.060800,1.877200,0.163852 
136,1.060800,1.896960,0.165385 
137,1.060800,1.916720,0.165142 
138,1.060800,1.936480,0.165893 
139,1.060800,1.956240,0.167398 
140,1.060800,1.976000,0.167906 
141,1.060800,1.995760,0.168527 
142,1.060800,2.015520,0.169369 
143,1.060800,2.035280,0.171068 
144,1.060800,2.055040,0.172225 
145,1.060800,2.074800,0.174951 
146,1.060800,2.094560,0.175711 
147,1.060800,2.114320,0.177902 
148,1.060800,2.134080,0.182339 
149,1.060800,2.153840,0.184588 
150,1.060800,2.173600,0.189228 
151,1.123200,1.699360,0.167164 
152,1.123200,1.719120,0.168347 
153,1.123200,1.738880,0.168202 
154,1.123200,1.758640,0.169822 
155,1.123200,1.778400,0.168806 
156,1.123200,1.798160,0.169321 
157,1.123200,1.817920,0.169476 
158,1.123200,1.837680,0.167914 
159,1.123200,1.857440,0.169998 
160,1.123200,1.877200,0.172523 
161,1.123200,1.896960,0.174515 
