n,d1,d2,d3
1,0.062400,1.699360,0.296898 
2,0.062400,1.719120,0.289606 
3,0.062400,1.738880,0.285864 
4,0.062400,1.758640,0.281402 
5,0.062400,1.778400,0.276803 
6,0.062400,1.798160,0.269957 
7,0.062400,1.817920,0.266037 
8,0.062400,1.837680,0.260204 
9,0.062400,1.857440,0.253567 
10,0.062400,1.877200,0.247904 
11,0.062400,1.896960,0.243280 
12,0.062400,1.916720,0.238159 
13,0.062400,1.936480,0.231965 
14,0.062400,1.956240,0.230504 
15,0.062400,1.976000,0.220550 
16,0.062400,1.995760,0.217667 
17,0.062400,2.015520,0.213149 
18,0.062400,2.035280,0.210949 
19,0.062400,2.055040,0.209143 
20,0.062400,2.074800,0.207783 
21,0.062400,2.094560,0.209361 
22,0.062400,2.114320,0.207821 
23,0.062400,2.134080,0.208524 
24,0.062400,2.153840,0.207052 
25,0.062400,2.173600,0.212584 
26,0.124800,1.699360,0.279885 
27,0.124800,1.719120,0.271832 
28,0.124800,1.738880,0.266623 
29,0.124800,1.758640,0.262340 
30,0.124800,1.778400,0.256594 
31,0.124800,1.798160,0.249346 
32,0.124800,1.817920,0.243571 
33,0.124800,1.837680,0.237794 
34,0.124800,1.857440,0.233036 
35,0.124800,1.877200,0.228240 
36,0.124800,1.896960,0.224077 
37,0.124800,1.916720,0.218700 
38,0.124800,1.936480,0.214249 
39,0.124800,1.956240,0.211906 
40,0.124800,1.976000,0.204265 
41,0.124800,1.995760,0.201850 
42,0.124800,2.015520,0.200253 
43,0.124800,2.035280,0.203268 
44,0.124800,2.055040,0.200396 
45,0.124800,2.074800,0.200899 
46,0.124800,2.094560,0.201082 
47,0.124800,2.114320,0.203323 
48,0.124800,2.134080,0.204250 
49,0.124800,2.153840,0.203519 
50,0.124800,2.173600,0.206217 
51,0.187200,1.699360,0.262964 
52,0.187200,1.719120,0.255931 
53,0.187200,1.738880,0.248340 
54,0.187200,1.758640,0.241807 
55,0.187200,1.778400,0.235482 
56,0.187200,1.798160,0.231071 
57,0.187200,1.817920,0.224956 
58,0.187200,1.837680,0.219345 
59,0.187200,1.857440,0.215157 
