n,d1,d2,d3
1,0.124800,0.395200,0.293667 
2,0.124800,0.592800,0.293667 
3,0.124800,0.790400,0.293667 
4,0.124800,0.988000,0.293667 
5,0.124800,1.185600,0.466126 
6,0.124800,1.383200,0.351416 
7,0.124800,1.580800,0.312001 
8,0.124800,1.778400,0.292440 
9,0.124800,1.976000,0.256859 
10,0.124800,2.173600,0.256859 
11,0.124800,2.371200,0.293667 
12,0.124800,0.395200,0.293667 
13,0.124800,2.568800,0.292988 
14,0.124800,2.766400,0.292988 
15,0.187200,0.395200,0.292988 
16,0.187200,0.592800,0.292988 
17,0.187200,0.790400,0.292988 
18,0.187200,0.988000,0.292988 
19,0.187200,1.185600,0.443303 
20,0.187200,1.383200,0.346199 
21,0.187200,1.580800,0.304530 
22,0.187200,1.778400,0.267558 
23,0.187200,1.976000,0.264265 
24,0.187200,2.173600,0.283038 
25,0.187200,2.371200,0.283070 
26,0.187200,2.568800,0.284515 
27,0.187200,2.766400,0.305645 
28,0.249600,0.395200,0.305645 
29,0.249600,0.592800,0.305645 
30,0.249600,0.790400,0.305645 
31,0.249600,0.988000,0.305645 
32,0.249600,1.185600,0.444816 
33,0.249600,1.383200,0.344909 
34,0.249600,1.580800,0.344909 
35,0.249600,1.778400,0.258136 
36,0.249600,1.976000,0.258136 
37,0.249600,2.173600,0.278798 
38,0.124800,0.395200,0.278798 
39,0.249600,2.371200,0.270125 
40,0.249600,2.568800,0.286575 
41,0.249600,2.766400,0.304635 
42,0.312000,0.395200,0.304635 
43,0.312000,0.592800,0.304635 
44,0.312000,0.790400,0.304635 
45,0.312000,0.988000,0.304635 
46,0.312000,1.185600,0.430086 
47,0.312000,1.383200,0.354254 
48,0.312000,1.580800,0.299274 
49,0.312000,1.778400,0.255260 
50,0.312000,1.976000,0.255260 
51,0.312000,2.173600,0.275126 
52,0.312000,2.371200,0.266039 
53,0.312000,2.568800,0.285479 
54,0.312000,2.766400,0.285479 
55,0.374400,0.395200,0.285479 
56,0.374400,0.592800,0.285479 
57,0.374400,0.790400,0.285479 
58,0.374400,0.988000,0.285479 
59,0.374400,1.185600,0.436931 
60,0.374400,1.383200,0.348216 
61,0.374400,1.580800,0.284489 
62,0.374400,1.778400,0.270057 
63,0.374400,1.976000,0.270057 
64,0.374400,2.173600,0.266668 
65,0.374400,2.371200,0.263041 
66,0.374400,2.568800,0.263041 
67,0.374400,2.766400,0.299059 
68,0.436800,0.395200,0.299059 
69,0.436800,0.592800,0.299059 
70,0.436800,0.790400,0.299059 
71,0.436800,0.988000,0.299059 
72,0.436800,1.185600,0.445613 
73,0.436800,1.383200,0.445613 
74,0.436800,1.580800,0.281979 
75,0.436800,1.778400,0.279041 
76,0.436800,1.976000,0.279041 
77,0.436800,2.173600,0.261948 
78,0.436800,2.371200,0.261948 
79,0.436800,2.568800,0.287863 
80,0.436800,2.766400,0.306636 
81,0.499200,0.395200,0.306636 
82,0.499200,0.592800,0.306636 
83,0.499200,0.790400,0.306636 
84,0.499200,0.988000,0.306636 
85,0.499200,1.185600,0.449671 
86,0.499200,1.383200,0.449671 
87,0.499200,1.580800,0.283390 
88,0.499200,1.778400,0.284797 
89,0.499200,1.976000,0.277570 
90,0.499200,2.173600,0.261070 
91,0.499200,2.371200,0.261070 
92,0.499200,2.568800,0.287512 
93,0.499200,2.766400,0.287512 
94,0.561600,0.395200,0.287512 
95,0.561600,0.592800,0.287512 
96,0.561600,0.790400,0.287512 
97,0.561600,0.988000,0.287512 
98,0.561600,1.185600,0.447817 
99,0.561600,1.383200,0.447817 
100,0.561600,1.580800,0.289471 
101,0.561600,1.778400,0.290831 
102,0.561600,1.976000,0.290831 
103,0.561600,2.173600,0.261967 
104,0.561600,2.371200,0.279096 
105,0.561600,2.568800,0.291862 
106,0.561600,2.766400,0.291862 
107,0.624000,0.395200,0.291862 
108,0.624000,0.592800,0.291862 
109,0.624000,0.790400,0.291862 
110,0.624000,0.988000,0.291862 
111,0.624000,1.185600,0.439279 
112,0.624000,1.383200,0.439279 
113,0.624000,1.580800,0.290710 
114,0.624000,1.778400,0.282956 
115,0.624000,1.976000,0.282956 
116,0.624000,2.173600,0.262466 
117,0.624000,2.371200,0.262466 
118,0.624000,2.568800,0.292420 
119,0.624000,2.766400,0.292420 
120,0.686400,0.395200,0.292420 
121,0.686400,0.592800,0.292420 
122,0.686400,0.790400,0.292420 
123,0.686400,0.988000,0.292420 
124,0.686400,1.185600,0.421860 
125,0.686400,1.383200,0.421860 
126,0.686400,1.580800,0.289720 
127,0.686400,1.778400,0.289720 
128,0.686400,1.976000,0.251581 
129,0.686400,2.173600,0.251581 
130,0.686400,2.371200,0.271386 
131,0.686400,2.568800,0.271386 
132,0.686400,2.766400,0.311963 
133,0.748800,0.395200,0.311963 
134,0.748800,0.592800,0.311963 
135,0.748800,0.790400,0.311963 
136,0.748800,0.988000,0.311963 
137,0.748800,1.185600,0.395903 
138,0.748800,1.383200,0.307343 
139,0.748800,1.580800,0.290150 
140,0.748800,1.778400,0.290150 
141,0.748800,1.976000,0.243247 
142,0.748800,2.173600,0.254610 
143,0.748800,2.371200,0.254610 
144,0.748800,2.568800,0.282773 
145,0.748800,2.766400,0.299139 
146,0.811200,0.395200,0.299139 
147,0.811200,0.592800,0.299139 
148,0.811200,0.790400,0.299139 
149,0.811200,0.988000,0.299139 
150,0.811200,1.185600,0.385539 
151,0.811200,1.383200,0.317172 
152,0.811200,1.580800,0.283199 
153,0.811200,1.778400,0.249168 
154,0.811200,1.976000,0.239224 
155,0.811200,2.173600,0.249478 
156,0.811200,2.371200,0.259660 
157,0.811200,2.568800,0.276218 
158,0.811200,2.766400,0.295945 
159,0.873600,0.395200,0.295945 
160,0.873600,0.592800,0.295945 
161,0.873600,0.790400,0.295945 
162,0.873600,0.988000,0.295945 
163,0.873600,1.185600,0.376160 
164,0.873600,1.383200,0.376160 
165,0.873600,1.580800,0.277145 
166,0.873600,1.778400,0.245136 
167,0.873600,1.976000,0.241903 
168,0.873600,2.173600,0.246563 
169,0.873600,2.371200,0.254102 
170,0.873600,2.568800,0.254102 
171,0.873600,2.766400,0.295797 
