n,d1,d2,d3
1,0.062400,1.699360,0.312267 
2,0.062400,1.719120,0.309846 
3,0.062400,1.738880,0.312065 
4,0.062400,1.758640,0.309855 
5,0.062400,1.778400,0.304863 
6,0.062400,1.798160,0.303525 
7,0.062400,1.817920,0.302708 
8,0.062400,1.837680,0.299550 
9,0.062400,1.857440,0.295230 
10,0.062400,1.877200,0.295417 
11,0.062400,1.896960,0.299579 
12,0.062400,1.916720,0.292627 
13,0.062400,1.936480,0.293287 
14,0.062400,1.956240,0.295624 
15,0.062400,1.976000,0.298844 
16,0.062400,1.995760,0.303684 
17,0.062400,2.015520,0.305970 
18,0.062400,2.035280,0.307993 
19,0.062400,2.055040,0.309031 
20,0.062400,2.074800,0.310057 
21,0.062400,2.094560,0.316471 
22,0.062400,2.114320,0.320248 
23,0.062400,2.134080,0.324428 
24,0.062400,2.153840,0.323395 
25,0.062400,2.173600,0.322896 
26,0.124800,1.699360,0.303820 
27,0.124800,1.719120,0.298469 
28,0.124800,1.738880,0.296746 
29,0.124800,1.758640,0.295643 
30,0.124800,1.778400,0.291689 
31,0.124800,1.798160,0.289338 
32,0.124800,1.817920,0.285613 
33,0.124800,1.837680,0.285513 
34,0.124800,1.857440,0.284747 
35,0.124800,1.877200,0.292479 
36,0.124800,1.896960,0.292978 
37,0.124800,1.916720,0.285406 
38,0.124800,1.936480,0.286611 
39,0.124800,1.956240,0.289344 
40,0.124800,1.976000,0.296087 
41,0.124800,1.995760,0.297243 
42,0.124800,2.015520,0.299015 
43,0.124800,2.035280,0.304229 
44,0.124800,2.055040,0.303477 
45,0.124800,2.074800,0.309837 
46,0.124800,2.094560,0.311917 
47,0.124800,2.114320,0.314370 
48,0.124800,2.134080,0.305722 
49,0.124800,2.153840,0.308574 
50,0.124800,2.173600,0.310413 
51,0.187200,1.699360,0.289422 
52,0.187200,1.719120,0.287625 
53,0.187200,1.738880,0.282664 
54,0.187200,1.758640,0.280880 
55,0.187200,1.778400,0.278158 
56,0.187200,1.798160,0.279669 
57,0.187200,1.817920,0.279079 
58,0.187200,1.837680,0.282102 
59,0.187200,1.857440,0.282055 
60,0.187200,1.877200,0.284240 
61,0.187200,1.896960,0.286932 
62,0.187200,1.916720,0.282452 
63,0.187200,1.936480,0.285032 
64,0.187200,1.956240,0.288994 
65,0.187200,1.976000,0.298581 
66,0.187200,1.995760,0.301820 
67,0.187200,2.015520,0.303717 
68,0.187200,2.035280,0.303572 
69,0.187200,2.055040,0.303332 
70,0.187200,2.074800,0.296277 
71,0.187200,2.094560,0.300609 
72,0.187200,2.114320,0.303122 
73,0.187200,2.134080,0.309487 
74,0.187200,2.153840,0.307825 
75,0.187200,2.173600,0.312748 
76,0.249600,1.699360,0.274292 
77,0.249600,1.719120,0.272613 
78,0.249600,1.738880,0.278681 
79,0.249600,1.758640,0.278414 
80,0.249600,1.778400,0.276170 
81,0.249600,1.798160,0.276635 
82,0.249600,1.817920,0.275005 
83,0.249600,1.837680,0.279177 
84,0.249600,1.857440,0.278778 
85,0.249600,1.877200,0.285950 
86,0.249600,1.896960,0.296763 
87,0.249600,1.916720,0.289171 
88,0.249600,1.936480,0.291816 
89,0.249600,1.956240,0.292455 
90,0.249600,1.976000,0.296447 
91,0.249600,1.995760,0.302179 
92,0.249600,2.015520,0.289703 
93,0.249600,2.035280,0.289550 
94,0.249600,2.055040,0.291967 
95,0.249600,2.074800,0.297213 
96,0.249600,2.094560,0.302325 
97,0.249600,2.114320,0.305894 
98,0.249600,2.134080,0.309239 
99,0.249600,2.153840,0.311524 
100,0.249600,2.173600,0.312942 
101,0.312000,1.699360,0.277506 
102,0.312000,1.719120,0.278679 
103,0.312000,1.738880,0.278314 
104,0.312000,1.758640,0.276573 
105,0.312000,1.778400,0.277309 
106,0.312000,1.798160,0.279493 
107,0.312000,1.817920,0.279297 
108,0.312000,1.837680,0.284826 
109,0.312000,1.857440,0.286859 
110,0.312000,1.877200,0.291423 
111,0.312000,1.896960,0.293003 
112,0.312000,1.916720,0.290457 
113,0.312000,1.936480,0.293091 
114,0.312000,1.956240,0.280985 
115,0.312000,1.976000,0.286606 
116,0.312000,1.995760,0.289798 
117,0.312000,2.015520,0.291803 
118,0.312000,2.035280,0.292727 
119,0.312000,2.055040,0.296753 
120,0.312000,2.074800,0.300615 
121,0.312000,2.094560,0.307232 
122,0.312000,2.114320,0.309541 
123,0.312000,2.134080,0.316896 
124,0.312000,2.153840,0.306941 
