n,d1,d2,d3
1,0.62400,1.58080,0.309958
2,0.62400,1.77840,0.280755
3,0.62400,1.97600,0.270751
4,0.62400,2.17360,0.269998
5,0.62400,2.37120,0.271914
6,0.63024,1.58080,0.311769
7,0.63024,1.77840,0.277461
8,0.63024,1.97600,0.268091
9,0.63024,2.17360,0.269792
10,0.63024,2.37120,0.269428
11,0.63648,1.58080,0.306791
12,0.63648,1.77840,0.276161
13,0.63648,1.97600,0.266769
14,0.63648,2.17360,0.268931
15,0.63648,2.37120,0.270557
16,0.64272,1.58080,0.308435
17,0.64272,1.77840,0.273296
18,0.64272,1.97600,0.266121
19,0.64272,2.17360,0.267561
20,0.64272,2.37120,0.268993
21,0.64896,1.58080,0.312057
22,0.64896,1.77840,0.272475
23,0.64896,1.97600,0.265707
24,0.64896,2.17360,0.265655
25,0.64896,2.37120,0.268411
26,0.65520,1.58080,0.311852
27,0.65520,1.77840,0.271850
28,0.65520,1.97600,0.265346
29,0.65520,2.17360,0.266748
30,0.65520,2.37120,0.267163
31,0.62400,1.58080,0.309958
32,0.66144,1.58080,0.309684
33,0.62400,1.77840,0.280755
34,0.66144,1.77840,0.270996
35,0.62400,1.97600,0.270751
36,0.66144,1.97600,0.264244
37,0.62400,2.17360,0.269998
38,0.66144,2.17360,0.264615
39,0.62400,2.37120,0.271914
40,0.66144,2.37120,0.266119
41,0.63024,1.58080,0.311769
42,0.63024,1.77840,0.277461
43,0.63024,1.97600,0.268091
44,0.63024,2.17360,0.269792
45,0.63024,2.37120,0.269428
46,0.63648,1.58080,0.306791
47,0.63648,1.77840,0.276161
48,0.63648,1.97600,0.266769
49,0.63648,2.17360,0.268931
50,0.63648,2.37120,0.270557
51,0.64272,1.58080,0.308435
52,0.64272,1.77840,0.273296
53,0.64272,1.97600,0.266121
54,0.64272,2.17360,0.267561
55,0.64272,2.37120,0.268993
56,0.64896,1.58080,0.312057
57,0.64896,1.77840,0.272475
58,0.64896,1.97600,0.265707
59,0.64896,2.17360,0.265655
60,0.64896,2.37120,0.268411
61,0.65520,1.58080,0.311852
62,0.65520,1.77840,0.271850
63,0.65520,1.97600,0.265346
64,0.65520,2.17360,0.266748
65,0.65520,2.37120,0.267163
66,0.66144,1.58080,0.309684
67,0.66144,1.77840,0.270996
68,0.66144,1.97600,0.264244
69,0.66144,2.17360,0.264615
70,0.66144,2.37120,0.266119
71,0.66768,1.58080,0.310524
72,0.66768,1.77840,0.272152
73,0.66768,1.97600,0.264254
74,0.66768,2.17360,0.265059
75,0.66768,2.37120,0.266727
76,0.67392,1.58080,0.307526
77,0.67392,1.77840,0.271292
78,0.67392,1.97600,0.265182
79,0.67392,2.17360,0.264172
80,0.67392,2.37120,0.268977
81,0.68016,1.58080,0.308122
82,0.68016,1.77840,0.272590
83,0.68016,1.97600,0.265500
84,0.68016,2.17360,0.263530
85,0.68016,2.37120,0.269581
86,0.68640,1.58080,0.308755
87,0.68640,1.77840,0.271019
88,0.68640,1.97600,0.265449
89,0.68640,2.17360,0.263936
90,0.68640,2.37120,0.270653
91,0.69264,1.58080,0.301564
92,0.69264,1.77840,0.270242
93,0.69264,1.97600,0.264412
94,0.69264,2.17360,0.262081
95,0.69264,2.37120,0.269630
