n,d1,d2,d3
1,6.0,14.0,0.154169
2,6.0,14.5,0.154169
3,6.0,15.0,0.154104
4,6.0,15.5,0.153981
5,6.0,16.0,0.153505
6,6.0,16.5,0.153461
7,6.0,17.0,0.153232
8,6.0,17.5,0.152721
9,6.0,18.0,0.152775
10,6.0,18.5,0.152070
11,6.0,19.0,0.151476
12,6.5,14.0,0.153225
13,6.5,14.5,0.153147
14,6.5,15.0,0.153147
15,6.5,15.5,0.152902
16,6.5,16.0,0.152305
17,6.5,16.5,0.151662
18,6.5,17.0,0.151627
19,6.5,17.5,0.151627
20,6.5,18.0,0.151627
21,6.5,18.5,0.150847
22,6.5,19.0,0.151092
23,7.0,14.0,0.139586
24,7.0,14.5,0.139643
25,7.0,15.0,0.139587
26,7.0,15.5,0.138902
27,7.0,16.0,0.138902
28,7.0,16.5,0.138444
29,7.0,17.0,0.138444
30,7.0,17.5,0.138444
31,7.0,18.0,0.138444
32,7.0,18.5,0.138359
33,7.0,19.0,0.139297
34,7.5,14.0,0.135622
35,7.5,14.5,0.135213
36,7.5,15.0,0.135475
37,7.5,15.5,0.135475
38,7.5,16.0,0.135551
39,7.5,16.5,0.134620
40,7.5,17.0,0.135100
41,7.5,17.5,0.135100
42,7.5,18.0,0.135100
43,7.5,18.5,0.136137
44,7.5,19.0,0.136137
45,8.0,14.0,0.135896
46,8.0,14.5,0.136076
47,8.0,15.0,0.136076
48,8.0,15.5,0.136076
49,8.0,16.0,0.137385
50,8.0,16.5,0.137002
51,8.0,17.0,0.137002
52,8.0,17.5,0.137002
53,8.0,18.0,0.137737
54,8.0,18.5,0.137700
55,8.0,19.0,0.138617
56,8.5,14.0,0.141872
57,8.5,14.5,0.142254
58,8.5,15.0,0.142675
59,8.5,15.5,0.142798
60,8.5,16.0,0.142798
61,8.5,16.5,0.141983
62,8.5,17.0,0.141983
63,8.5,17.5,0.141849
64,8.5,18.0,0.142967
65,8.5,18.5,0.143678
66,8.5,19.0,0.143678
67,9.0,14.0,0.160074
68,9.0,14.5,0.160857
69,9.0,15.0,0.160857
70,9.0,15.5,0.160980
71,9.0,16.0,0.161201
72,9.0,16.5,0.160802
73,9.0,17.0,0.161406
74,9.0,17.5,0.161476
75,9.0,18.0,0.161641
76,9.0,18.5,0.162893
77,9.0,19.0,0.162674
78,9.5,14.0,0.160166
79,9.5,14.5,0.160810
80,9.5,15.0,0.160810
81,9.5,15.5,0.160930
82,9.5,16.0,0.160930
83,9.5,16.5,0.161134
84,9.5,17.0,0.160835
85,9.5,17.5,0.161643
86,9.5,18.0,0.161643
87,9.5,18.5,0.163803
88,9.5,19.0,0.162148
89,10.0,14.0,0.149678
90,10.0,14.5,0.149830
91,10.0,15.0,0.149484
92,10.0,15.5,0.149484
93,10.0,16.0,0.147234
94,10.0,16.5,0.147060
95,10.0,17.0,0.147060
96,10.0,17.5,0.148352
97,10.0,18.0,0.148352
98,10.0,18.5,0.150567
99,10.0,19.0,0.150716
100,10.5,14.0,0.151912
101,10.5,14.5,0.151886
102,10.5,15.0,0.151908
103,10.5,15.5,0.152299
104,10.5,16.0,0.152934
105,10.5,16.5,0.149739
106,10.5,17.0,0.152379
107,10.5,17.5,0.152400
108,10.5,18.0,0.152107
109,10.5,18.5,0.153363
110,10.5,19.0,0.153363
111,11.0,14.0,0.153702
112,11.0,14.5,0.154287
113,11.0,15.0,0.154338
114,11.0,15.5,0.154829
115,11.0,16.0,0.155915
116,11.0,16.5,0.156128
117,11.0,17.0,0.156203
118,11.0,17.5,0.158804
119,11.0,18.0,0.158439
120,11.0,18.5,0.159713
121,11.0,19.0,0.159972
122,11.5,14.0,0.149264
123,11.5,14.5,0.149334
124,11.5,15.0,0.149255
125,11.5,15.5,0.151562
126,11.5,16.0,0.151562
127,11.5,16.5,0.151188
128,11.5,17.0,0.150709
129,11.5,17.5,0.150738
130,11.5,18.0,0.150481
131,11.5,18.5,0.151056
132,11.5,19.0,0.151241
133,12.0,14.0,0.157698
134,12.0,14.5,0.158958
135,12.0,15.0,0.159419
136,12.0,15.5,0.159091
137,12.0,16.0,0.158077
138,12.0,16.5,0.157931
139,12.0,17.0,0.157936
140,12.0,17.5,0.159135
141,12.0,18.0,0.158861
142,12.0,18.5,0.159829
143,12.0,19.0,0.159829
