n,d1,d2,d3
0,0.46862,1.09345,0.270069
1,0.46862,1.18457,0.237624
2,0.46862,1.27569,0.224637
3,0.46862,1.36682,0.224886
4,0.46862,1.45794,0.209227
5,0.46862,1.54906,0.201262
6,0.46862,1.64018,0.192569
7,0.46862,1.73130,0.197687
8,0.46862,1.82242,0.205735
9,0.46862,1.91354,0.213212
10,0.46862,2.00466,0.210434
11,0.46862,2.09578,0.206779
12,0.46862,2.18690,0.205258
13,0.46862,2.27803,0.212459
14,0.46862,2.36914,0.218741
15,0.46862,2.46027,0.227412
16,0.50767,1.09345,0.267578
17,0.50767,1.18457,0.243129
18,0.50767,1.27569,0.234693
19,0.50767,1.36682,0.231639
20,0.50767,1.45794,0.210522
21,0.50767,1.54906,0.201749
22,0.50767,1.64018,0.196869
23,0.50767,1.73130,0.202229
24,0.50767,1.82242,0.208250
25,0.50767,1.91354,0.214536
26,0.50767,2.00466,0.209847
27,0.50767,2.09578,0.203439
28,0.50767,2.18690,0.203391
29,0.50767,2.27803,0.211533
30,0.50767,2.36914,0.221401
31,0.50767,2.46027,0.224573
32,0.54672,1.09345,0.265201
33,0.54672,1.18457,0.247634
34,0.54672,1.27569,0.243008
35,0.54672,1.36682,0.229724
36,0.54672,1.45794,0.208300
37,0.54672,1.54906,0.196144
38,0.54672,1.64018,0.197536
39,0.54672,1.73130,0.207506
40,0.54672,1.82242,0.213278
41,0.54672,1.91354,0.212052
42,0.54672,2.00466,0.206485
43,0.54672,2.09578,0.200100
44,0.54672,2.18690,0.205455
45,0.54672,2.27803,0.217270
46,0.54672,2.36914,0.221419
47,0.54672,2.46027,0.229348
48,0.58577,1.09345,0.268030
49,0.58577,1.18457,0.248498
50,0.58577,1.27569,0.241739
51,0.58577,1.36682,0.228265
52,0.58577,1.45794,0.206240
53,0.58577,1.54906,0.197801
54,0.58577,1.64018,0.203225
55,0.58577,1.73130,0.207756
56,0.58577,1.82242,0.211842
57,0.58577,1.91354,0.208539
58,0.58577,2.00466,0.202462
59,0.58577,2.09578,0.202085
60,0.58577,2.18690,0.208998
61,0.58577,2.27803,0.218812
62,0.58577,2.36914,0.222478
63,0.58577,2.46027,0.227837
64,0.62483,1.09345,0.276158
65,0.62483,1.18457,0.260791
66,0.62483,1.27569,0.247334
67,0.62483,1.36682,0.230043
68,0.62483,1.45794,0.207159
69,0.62483,1.54906,0.203952
70,0.62483,1.64018,0.207246
71,0.62483,1.73130,0.209828
72,0.62483,1.82242,0.208243
73,0.62483,1.91354,0.200029
74,0.62483,2.00466,0.193578
75,0.62483,2.09578,0.197221
76,0.62483,2.18690,0.204008
77,0.62483,2.27803,0.209244
78,0.62483,2.36914,0.215421
79,0.62483,2.46027,0.220830
80,0.66388,1.09345,0.275947
81,0.66388,1.18457,0.261035
82,0.66388,1.27569,0.243187
83,0.66388,1.36682,0.227480
84,0.66388,1.45794,0.207295
85,0.66388,1.54906,0.207630
86,0.66388,1.64018,0.210631
87,0.66388,1.73130,0.210568
88,0.66388,1.82242,0.202950
89,0.66388,1.91354,0.196970
90,0.66388,2.00466,0.194449
91,0.66388,2.09578,0.199269
92,0.66388,2.18690,0.202292
93,0.66388,2.27803,0.209374
94,0.66388,2.36914,0.219069
95,0.66388,2.46027,0.219586
96,0.70293,1.09345,0.268613
97,0.70293,1.18457,0.260074
98,0.70293,1.27569,0.240343
99,0.70293,1.36682,0.223086
100,0.70293,1.45794,0.208211
101,0.70293,1.54906,0.211438
102,0.70293,1.64018,0.210957
103,0.70293,1.73130,0.207768
104,0.70293,1.82242,0.199852
105,0.70293,1.91354,0.193096
106,0.70293,2.00466,0.194106
107,0.70293,2.09578,0.199724
108,0.70293,2.18690,0.204010
109,0.70293,2.27803,0.208465
110,0.70293,2.36914,0.216022
111,0.70293,2.46027,0.227019
112,0.78103,1.09345,0.275160
113,0.78103,1.18457,0.248940
114,0.78103,1.27569,0.233940
115,0.78103,1.36682,0.223910
116,0.78103,1.45794,0.215620
117,0.78103,1.54906,0.213083
118,0.78103,1.64018,0.207401
119,0.78103,1.73130,0.200894
120,0.78103,1.82242,0.193241
121,0.78103,1.91354,0.193298
122,0.78103,2.00466,0.196271
123,0.78103,2.09578,0.203495
124,0.78103,2.18690,0.206414
125,0.78103,2.27803,0.210464
126,0.78103,2.36914,0.218554
127,0.78103,2.46027,0.222432
128,0.82008,1.09345,0.280908
129,0.82008,1.18457,0.247213
130,0.82008,1.27569,0.233260
131,0.82008,1.36682,0.227843
132,0.82008,1.45794,0.215579
133,0.82008,1.54906,0.216589
134,0.82008,1.64018,0.207459
135,0.82008,1.73130,0.199863
136,0.82008,1.82242,0.190989
137,0.82008,1.91354,0.196627
138,0.82008,2.00466,0.200829
139,0.82008,2.09578,0.205759
140,0.82008,2.18690,0.212013
141,0.82008,2.27803,0.213627
142,0.82008,2.36914,0.222341
143,0.82008,2.46027,0.224536
144,0.85913,1.09345,0.287097
145,0.85913,1.18457,0.247221
146,0.85913,1.27569,0.237280
147,0.85913,1.36682,0.228096
148,0.85913,1.45794,0.218589
149,0.85913,1.54906,0.214174
150,0.85913,1.64018,0.204520
151,0.85913,1.73130,0.198117
152,0.85913,1.82242,0.191535
153,0.85913,1.91354,0.199520
154,0.85913,2.00466,0.202929
155,0.85913,2.09578,0.203603
156,0.85913,2.18690,0.209182
157,0.85913,2.27803,0.215691
158,0.85913,2.36914,0.219802
159,0.85913,2.46027,0.226911
160,0.89818,1.09345,0.288783
161,0.89818,1.18457,0.252052
162,0.89818,1.27569,0.238620
163,0.89818,1.36682,0.232758
164,0.89818,1.45794,0.222314
165,0.89818,1.54906,0.214454
166,0.89818,1.64018,0.202962
167,0.89818,1.73130,0.193940
168,0.89818,1.82242,0.196322
169,0.89818,1.91354,0.203975
170,0.89818,2.00466,0.202735
