n,d1,d2,d3
1,6.0,13.0,0.240068
2,6.0,14.0,0.239917
3,6.0,14.5,0.237363
4,6.0,15.0,0.236164
5,6.0,16.0,0.235744
6,7.0,13.0,0.210542
7,7.0,14.0,0.210153
8,7.0,14.5,0.207614
9,7.0,15.0,0.207614
10,7.0,16.0,0.203091
11,7.5,13.0,0.208375
12,7.5,14.0,0.205871
13,7.5,14.5,0.203091
14,7.5,15.0,0.203091
15,7.5,16.0,0.209531
16,8.0,13.0,0.214734
17,8.0,14.0,0.210923
18,8.0,14.5,0.210851
19,8.0,15.0,0.211451
20,8.0,16.0,0.215727
21,9.0,13.0,0.227708
22,9.0,14.0,0.219986
23,9.0,14.5,0.219970
24,9.0,15.0,0.221275
25,9.0,16.0,0.225437
26,10.0,13.0,0.240008
27,10.0,14.0,0.236854
28,10.0,14.5,0.237346
29,10.0,15.0,0.243390
30,10.0,16.0,0.245217
