n,d1,d2,d3
0,0.45000,1.10758,0.464235
1,0.45000,1.32909,0.402086
2,0.45000,1.55061,0.314301
3,0.45000,1.77213,0.289819
4,0.45000,1.99364,0.252550
5,0.45000,2.21516,0.224023
6,0.45000,2.43668,0.220166
7,0.45000,2.65819,0.222454
8,0.45000,2.87971,0.244214
9,0.45000,3.10122,0.336350
10,0.45000,3.32274,0.415180
11,0.54000,1.10758,0.467740
12,0.54000,1.32909,0.380350
13,0.54000,1.55061,0.307704
14,0.54000,1.77213,0.286582
15,0.54000,1.99364,0.239076
16,0.54000,2.21516,0.222207
17,0.54000,2.43668,0.217757
18,0.54000,2.65819,0.225889
19,0.54000,2.87971,0.316364
20,0.54000,3.10122,0.362031
21,0.54000,3.32274,0.455159
22,0.63000,1.10758,0.466649
23,0.63000,1.32909,0.355237
24,0.63000,1.55061,0.312854
25,0.63000,1.77213,0.276982
26,0.63000,1.99364,0.227032
27,0.63000,2.21516,0.216689
28,0.63000,2.43668,0.214597
29,0.63000,2.65819,0.232177
30,0.63000,2.87971,0.327103
31,0.63000,3.10122,0.410222
32,0.63000,3.32274,0.484781
33,0.72000,1.10758,0.430740
34,0.72000,1.32909,0.342925
35,0.72000,1.55061,0.306675
36,0.72000,1.77213,0.253797
37,0.72000,1.99364,0.219615
38,0.72000,2.21516,0.211771
39,0.72000,2.43668,0.212751
40,0.72000,2.65819,0.234664
41,0.72000,2.87971,0.337047
42,0.72000,3.10122,0.425615
43,0.72000,3.32274,0.485136
44,0.81000,1.10758,0.394961
45,0.81000,1.32909,0.336947
46,0.81000,1.55061,0.300231
47,0.81000,1.77213,0.238074
48,0.81000,1.99364,0.213529
49,0.81000,2.21516,0.203173
50,0.81000,2.43668,0.211197
51,0.81000,2.65819,0.293011
52,0.81000,2.87971,0.339196
53,0.81000,3.10122,0.426194
54,0.81000,3.32274,0.479029
55,0.90000,1.10758,0.377315
56,0.90000,1.32909,0.345651
57,0.90000,1.55061,0.283979
58,0.90000,1.77213,0.229411
59,0.90000,1.99364,0.207303
60,0.90000,2.21516,0.197465
61,0.90000,2.43668,0.210770
62,0.90000,2.65819,0.289421
63,0.90000,2.87971,0.359736
64,0.90000,3.10122,0.416997
65,0.90000,3.32274,0.480472
66,0.99000,1.10758,0.379540
67,0.99000,1.32909,0.342502
68,0.99000,1.55061,0.275070
69,0.99000,1.77213,0.228890
70,0.99000,1.99364,0.202771
71,0.99000,2.21516,0.196612
72,0.99000,2.43668,0.255363
73,0.99000,2.65819,0.294890
74,0.99000,2.87971,0.366380
75,0.99000,3.10122,0.420051
76,0.99000,3.32274,0.481433
77,1.08000,1.10758,0.392962
78,1.08000,1.32909,0.340229
79,1.08000,1.55061,0.270524
80,1.08000,1.77213,0.229390
81,1.08000,1.99364,0.201379
82,1.08000,2.21516,0.201263
83,1.08000,2.43668,0.261781
84,1.08000,2.65819,0.315804
85,1.08000,2.87971,0.378002
86,1.08000,3.10122,0.436818
87,1.08000,3.32274,0.497009
88,1.17000,1.10758,0.390757
89,1.17000,1.32909,0.331127
90,1.17000,1.55061,0.272895
91,1.17000,1.77213,0.229896
92,1.17000,1.99364,0.205370
93,1.17000,2.21516,0.207169
94,1.17000,2.43668,0.275417
95,1.17000,2.65819,0.336568
96,1.17000,2.87971,0.395213
97,1.17000,3.10122,0.454721
98,1.17000,3.32274,0.513674
99,1.26000,1.10758,0.391586
100,1.26000,1.32909,0.329650
101,1.26000,1.55061,0.273263
102,1.26000,1.77213,0.227333
103,1.26000,1.99364,0.209984
104,1.26000,2.21516,0.255246
105,1.26000,2.43668,0.291706
106,1.26000,2.65819,0.353777
107,1.26000,2.87971,0.413258
108,1.26000,3.10122,0.477653
109,1.26000,3.32274,0.536032
110,1.35000,1.10758,0.395211
111,1.35000,1.32909,0.318073
112,1.35000,1.55061,0.270821
113,1.35000,1.77213,0.227863
114,1.35000,1.99364,0.213493
115,1.35000,2.21516,0.263385
116,1.35000,2.43668,0.311069
117,1.35000,2.65819,0.365595
118,1.35000,2.87971,0.427592
119,1.35000,3.10122,0.487677
120,1.35000,3.32274,0.555129
