n,d1,d2,d3
0,0.46862,1.09345,0.427332
1,0.46862,1.27569,0.378629
2,0.46862,1.45794,0.327358
3,0.46862,1.64018,0.304679
4,0.46862,1.82242,0.301247
5,0.46862,2.00466,0.268993
6,0.46862,2.18690,0.263460
7,0.46862,2.36915,0.266187
8,0.46862,2.55139,0.269322
9,0.54672,1.09345,0.426007
10,0.54672,1.27569,0.382762
11,0.54672,1.45794,0.323494
12,0.54672,1.64018,0.305328
13,0.54672,1.82242,0.299799
14,0.54672,2.00466,0.271625
15,0.54672,2.18690,0.266535
16,0.54672,2.36915,0.268327
17,0.54672,2.55139,0.273841
18,0.62482,1.09345,0.429376
19,0.62482,1.27569,0.359257
20,0.62482,1.45794,0.321831
21,0.62482,1.64018,0.317132
22,0.62482,1.82242,0.283104
23,0.62482,2.00466,0.266213
24,0.62482,2.18690,0.264832
25,0.62482,2.36915,0.263831
26,0.62482,2.55139,0.275994
27,0.70293,1.09345,0.414734
28,0.70293,1.27569,0.357583
29,0.70293,1.45794,0.314737
30,0.70293,1.64018,0.296383
31,0.70293,1.82242,0.277336
32,0.70293,2.00466,0.262448
33,0.70293,2.18690,0.260609
34,0.70293,2.36915,0.262846
35,0.70293,2.55139,0.276625
36,0.78103,1.09345,0.388064
37,0.78103,1.27569,0.350775
38,0.78103,1.45794,0.329307
39,0.78103,1.64018,0.280651
40,0.78103,1.82242,0.266522
41,0.78103,2.00466,0.253717
42,0.78103,2.18690,0.253062
43,0.78103,2.36915,0.257780
44,0.78103,2.55139,0.271448
45,0.85913,1.09345,0.366549
46,0.85913,1.27569,0.346476
47,0.85913,1.45794,0.312329
48,0.85913,1.64018,0.276658
49,0.85913,1.82242,0.259732
50,0.85913,2.00466,0.247246
51,0.85913,2.18690,0.247396
52,0.85913,2.36915,0.252861
53,0.85913,2.55139,0.263843
54,0.93724,1.09345,0.361354
55,0.93724,1.27569,0.347451
56,0.93724,1.45794,0.292710
57,0.93724,1.64018,0.264675
58,0.93724,1.82242,0.256849
59,0.93724,2.00466,0.244389
60,0.93724,2.18690,0.243127
61,0.93724,2.36915,0.248509
62,0.93724,2.55139,0.266170
63,1.01534,1.09345,0.372777
64,1.01534,1.27569,0.352577
65,1.01534,1.45794,0.288737
66,1.01534,1.64018,0.269160
67,1.01534,1.82242,0.254587
68,1.01534,2.00466,0.240822
69,1.01534,2.18690,0.240686
70,1.01534,2.36915,0.245176
71,1.01534,2.55139,0.260799
72,1.09344,1.09345,0.378014
73,1.09344,1.27569,0.348965
74,1.09344,1.45794,0.296115
75,1.09344,1.64018,0.272939
76,1.09344,1.82242,0.253766
77,1.09344,2.00466,0.242905
78,1.09344,2.18690,0.243239
79,1.09344,2.36915,0.251349
80,1.09344,2.55139,0.266194
