n,d1,d2,d3
0,0.60000,1.70000,0.320457
1,0.60000,1.80000,0.309610
2,0.60000,1.90000,0.297276
3,0.60000,2.00000,0.282629
4,0.60000,2.10000,0.268343
5,0.60000,2.20000,0.289592
6,0.60000,2.30000,0.291292
7,0.70000,1.70000,0.312019
8,0.70000,1.80000,0.288037
9,0.70000,1.90000,0.280353
10,0.70000,2.00000,0.258684
11,0.70000,2.10000,0.277557
12,0.70000,2.20000,0.278501
13,0.70000,2.30000,0.279841
14,0.80000,1.70000,0.287963
15,0.80000,1.80000,0.267275
16,0.80000,1.90000,0.254394
17,0.80000,2.00000,0.263221
18,0.80000,2.10000,0.264949
19,0.80000,2.20000,0.263495
20,0.80000,2.30000,0.265909
21,0.90000,1.70000,0.269890
22,0.90000,1.80000,0.245987
23,0.90000,1.90000,0.261170
24,0.90000,2.00000,0.253600
25,0.90000,2.10000,0.248261
26,0.90000,2.20000,0.252315
27,0.90000,2.30000,0.256773
28,1.00000,1.70000,0.254449
29,1.00000,1.80000,0.257267
30,1.00000,1.90000,0.254738
31,1.00000,2.00000,0.246582
32,1.00000,2.10000,
33,1.00000,2.20000,0.246797
34,1.00000,2.30000,0.261198
35,1.10000,1.70000,0.266131
36,1.10000,1.80000,0.255675
37,1.10000,1.90000,0.251228
38,1.10000,2.00000,0.246036
39,1.10000,2.10000,0.246992
40,1.10000,2.20000,0.255999
41,1.10000,2.30000,0.266522
42,1.20000,1.70000,0.267617
43,1.20000,1.80000,0.252402
44,1.20000,1.90000,0.248321
45,1.20000,2.00000,0.243106
46,1.20000,2.10000,0.250603
47,1.20000,2.20000,0.256977
48,1.20000,2.30000,0.265300
