n,d1,d2,d3
0,6.0,8.0,0.243365
1,6.0,9.0,0.242051
2,6.0,10.0,0.242051
3,6.0,11.0,0.252798
4,6.0,12.0,0.268789
5,6.0,13.0,0.257959
6,6.0,14.0,0.255470
7,6.0,15.0,0.232940
8,6.0,16.0,0.232095
9,7.0,8.0,0.235150
10,7.0,9.0,0.199396
11,7.0,10.0,0.209183
12,7.0,11.0,0.258025
13,7.0,12.0,0.226550
14,7.0,13.0,0.195060
15,7.0,14.0,0.193571
16,7.0,15.0,0.207693
17,7.0,16.0,0.204683
18,8.0,8.0,0.241495
19,8.0,9.0,0.198562
20,8.0,10.0,0.208478
21,8.0,11.0,0.223233
22,8.0,12.0,0.218508
23,8.0,13.0,0.234558
24,8.0,14.0,0.233240
25,8.0,15.0,0.215921
26,8.0,16.0,0.215690
27,9.0,8.0,0.231305
28,9.0,9.0,0.205583
29,9.0,10.0,0.213879
30,9.0,11.0,0.233202
31,9.0,12.0,0.254585
32,9.0,13.0,0.248963
33,9.0,14.0,0.246752
34,9.0,15.0,0.245184
35,9.0,16.0,0.228223
36,10.0,8.0,0.259277
37,10.0,9.0,0.217695
38,10.0,10.0,0.223893
39,10.0,11.0,0.223561
40,10.0,12.0,0.222907
41,10.0,13.0,0.228878
42,10.0,14.0,0.232581
43,10.0,15.0,0.246797
44,10.0,16.0,0.227951
45,11.0,8.0,0.255809
46,11.0,9.0,0.227488
47,11.0,10.0,0.234696
48,11.0,11.0,0.255005
49,11.0,12.0,0.252753
50,11.0,13.0,0.259926
51,11.0,14.0,0.261885
52,11.0,15.0,0.264564
53,11.0,16.0,0.255444
54,12.0,8.0,0.276479
55,12.0,9.0,0.253824
56,12.0,10.0,0.264887
57,12.0,11.0,0.249146
58,12.0,12.0,0.270143
59,12.0,13.0,0.278699
60,12.0,14.0,0.272113
61,12.0,15.0,0.268558
62,12.0,16.0,0.269405
63,13.0,8.0,0.280894
64,13.0,9.0,0.274067
65,13.0,10.0,0.272867
66,13.0,11.0,0.269732
67,13.0,12.0,0.289430
68,13.0,13.0,0.298516
69,13.0,14.0,0.291735
70,13.0,15.0,0.290493
71,13.0,16.0,0.277803
72,14.0,8.0,0.293488
73,14.0,9.0,0.279306
74,14.0,10.0,0.279191
75,14.0,11.0,0.282260
76,14.0,12.0,0.323448
77,14.0,13.0,0.317278
78,14.0,14.0,0.304448
79,14.0,15.0,0.304448
80,14.0,16.0,0.304448
