n,d1,d2,d3
0,7.0,8.0,0.243319
1,7.0,9.0,0.206753
2,7.0,8.0,0.243319
3,7.0,9.0,0.206753
4,7.0,10.0,0.223675
5,7.0,11.0,0.261751
6,7.0,12.0,0.230059
7,7.0,13.0,0.216683
8,7.0,14.0,0.217962
9,7.0,15.0,0.216623
10,8.0,8.0,0.245642
11,8.0,9.0,0.226187
12,8.0,10.0,0.225075
13,8.0,11.0,0.231093
14,8.0,12.0,0.230104
15,8.0,13.0,0.239292
16,8.0,14.0,0.238330
17,8.0,15.0,0.236300
18,9.0,8.0,0.263952
19,9.0,9.0,0.229662
20,9.0,10.0,0.240293
21,9.0,11.0,0.240011
22,9.0,12.0,0.255979
23,9.0,13.0,0.249318
24,9.0,14.0,0.254515
25,9.0,15.0,0.249254
26,10.0,8.0,0.256917
27,10.0,9.0,0.229290
28,10.0,10.0,0.239252
29,10.0,11.0,0.245791
30,10.0,12.0,0.240605
31,10.0,13.0,0.249371
32,10.0,14.0,0.252944
33,10.0,15.0,0.253097
34,11.0,8.0,0.261725
35,11.0,9.0,0.223692
36,11.0,10.0,0.254350
37,11.0,11.0,0.240280
38,11.0,12.0,0.252649
39,11.0,13.0,0.274048
40,11.0,14.0,0.266172
41,11.0,15.0,0.269216
42,12.0,8.0,0.274634
43,12.0,9.0,0.257119
44,12.0,10.0,0.265577
45,12.0,11.0,0.261235
46,12.0,12.0,0.277927
47,12.0,13.0,0.286006
48,12.0,14.0,0.286947
49,12.0,15.0,0.293090
50,13.0,8.0,0.274270
51,13.0,9.0,0.250208
52,13.0,10.0,0.269046
53,13.0,11.0,0.273416
54,13.0,12.0,0.280346
55,13.0,13.0,0.303043
56,13.0,14.0,0.299983
57,13.0,15.0,0.301915
58,14.0,8.0,0.272702
59,14.0,9.0,0.263011
60,14.0,10.0,0.279221
61,14.0,11.0,0.293820
62,14.0,12.0,0.320484
63,14.0,13.0,0.314950
64,14.0,14.0,0.313565
65,14.0,15.0,0.313565
