n,d1,d2,d3
0,0.20933,0.42194,0.203091
1,0.20933,0.63290,0.203091
2,0.20933,0.84387,0.203091
3,0.20933,1.05484,0.411838
4,0.20933,1.26581,0.348260
5,0.20933,1.47678,0.293001
6,0.20933,1.68774,0.256405
7,0.20933,1.89871,0.229504
8,0.20933,2.10968,0.239380
9,0.20933,2.32065,0.229754
10,0.20933,2.53162,0.217114
11,0.20933,2.74258,0.211177
12,0.20933,2.95355,0.210445
13,0.20933,3.16452,0.224424
14,0.20933,3.37549,0.220689
15,0.20933,3.58646,0.241292
16,0.31399,0.42194,0.241292
17,0.31399,0.63290,0.241292
18,0.31399,0.84387,0.241292
19,0.31399,1.05484,0.380409
20,0.31399,1.26581,0.332229
21,0.31399,1.47678,0.276003
22,0.31399,1.68774,0.234860
23,0.31399,1.89871,0.228526
24,0.31399,2.10968,0.228622
25,0.31399,2.32065,0.207309
26,0.31399,2.53162,0.208588
27,0.31399,2.74258,0.196993
28,0.31399,2.95355,0.205627
29,0.31399,3.16452,0.215732
30,0.31399,3.37549,0.228881
31,0.31399,3.58646,0.243551
32,0.41866,0.42194,0.243551
33,0.41866,0.63290,0.243551
34,0.41866,0.84387,0.243551
35,0.41866,1.05484,0.382578
36,0.41866,1.26581,0.332871
37,0.41866,1.47678,0.273975
38,0.41866,1.68774,0.229645
39,0.41866,1.89871,0.235994
40,0.41866,2.10968,0.218437
41,0.41866,2.32065,0.204332
42,0.41866,2.53162,0.196689
43,0.41866,2.74258,0.198053
44,0.41866,2.95355,0.215790
45,0.41866,3.16452,0.217429
46,0.41866,3.37549,0.247486
47,0.41866,3.58646,0.260089
48,0.52333,0.42194,0.260089
49,0.52333,0.63290,0.260089
50,0.52333,0.84387,0.260089
51,0.52333,1.05484,0.368804
52,0.52333,1.26581,0.332622
53,0.52333,1.47678,0.264511
54,0.52333,1.68774,0.241872
55,0.52333,1.89871,0.239226
56,0.52333,2.10968,0.210712
57,0.52333,2.32065,0.209802
58,0.52333,2.53162,0.200465
59,0.52333,2.74258,0.212447
60,0.52333,2.95355,0.226877
61,0.52333,3.16452,0.247090
62,0.52333,3.37549,0.279154
63,0.52333,3.58646,0.294309
64,0.62799,0.42194,0.294309
65,0.62799,0.63290,0.294309
66,0.62799,0.84387,0.294309
67,0.62799,1.05484,0.360096
68,0.62799,1.26581,0.320888
69,0.62799,1.47678,0.263671
70,0.62799,1.68774,0.248700
71,0.62799,1.89871,0.229156
72,0.62799,2.10968,0.210108
73,0.62799,2.32065,0.207746
74,0.62799,2.53162,0.208652
75,0.62799,2.74258,0.225516
76,0.62799,2.95355,0.236999
77,0.62799,3.16452,0.273880
78,0.62799,3.37549,0.300874
79,0.62799,3.58646,0.329059
80,0.73266,0.42194,0.329059
81,0.73266,0.63290,0.329059
82,0.73266,0.84387,0.329059
83,0.73266,1.05484,0.346022
84,0.73266,1.26581,0.302352
85,0.73266,1.47678,0.270049
86,0.73266,1.68774,0.248610
87,0.73266,1.89871,0.219435
88,0.73266,2.10968,0.214896
89,0.73266,2.32065,0.207584
90,0.73266,2.53162,0.217461
91,0.73266,2.74258,0.232916
92,0.73266,2.95355,0.254582
93,0.73266,3.16452,0.292628
94,0.73266,3.37549,0.319425
95,0.73266,3.58646,0.353555
96,0.83732,0.42194,0.353555
97,0.83732,0.63290,0.353555
98,0.83732,0.84387,0.353555
99,0.83732,1.05484,0.325470
100,0.83732,1.26581,0.298019
101,0.83732,1.47678,0.273764
102,0.83732,1.68774,0.242180
103,0.83732,1.89871,0.217101
104,0.83732,2.10968,0.209339
105,0.83732,2.32065,0.206170
106,0.83732,2.53162,0.219986
107,0.83732,2.74258,0.230432
108,0.83732,2.95355,0.264134
109,0.83732,3.16452,0.296347
110,0.83732,3.37549,0.331753
111,0.83732,3.58646,0.357669
112,0.94199,0.42194,0.357669
113,0.94199,0.63290,0.357669
114,0.94199,0.84387,0.357669
115,0.94199,1.05484,0.312708
116,0.94199,1.26581,0.304836
117,0.94199,1.47678,0.276822
118,0.94199,1.68774,0.236756
119,0.94199,1.89871,0.222074
120,0.94199,2.10968,0.203948
121,0.94199,2.32065,0.205807
122,0.94199,2.53162,0.219619
123,0.94199,2.74258,0.237011
124,0.94199,2.95355,0.271024
125,0.94199,3.16452,0.297554
126,0.94199,3.37549,0.339914
127,0.94199,3.58646,0.346561
128,1.04665,0.42194,0.346561
129,1.04665,0.63290,0.346561
130,1.04665,0.84387,0.346561
131,1.04665,1.05484,0.330026
132,1.04665,1.26581,0.311611
133,1.04665,1.47678,0.273720
134,1.04665,1.68774,0.240099
135,1.04665,1.89871,0.217268
136,1.04665,2.10968,0.203091
137,1.04665,2.32065,0.207350
138,1.04665,2.53162,0.217123
139,1.04665,2.74258,0.244314
140,1.04665,2.95355,0.275223
